offtarget_bait_name	offtarget_bait_chrom	offtarget_bait_start	offtarget_bait_end	offtarget_bait_strand	offtarget_chrom	offtarget_start	offtarget_end	offtarget_strand_pvalue	offtarget_strand_odds	offtarget_sequence_start	offtarget_sequence_end	offtarget_alignment_score	offtarget_alignment_pid
Chr1_41Mb	chr1	41907735	41907754	-	chr8	121047425	121047985	3.047152000693923e-79	92.22510648343274	121047671	121047688	33.269920349121094	57.142857142857146
Chr10_80Mb	chr10	81077958	81077977	+	chr14	33265828	33265907	2.326891164505699e-8	1000	33265866	33265886	33.0735969543457	45.945945945945944
Chr10_80Mb	chr10	81077958	81077977	+	chr13	104059466	104059542	1.705206215207353e-19	1000	104059503	104059523	25.653366088867188	70.37037037037037
Chr12_13Mb	chr12	12994038	12994057	+	chr12	111040465	111040498	9.10620879107576e-10	258.32390830975527	111040472	111040496	10.555191993713379	39.130434782608695
Chr14_83Mb	chr14	83268830	83268849	+	chr13	103183775	103183797	1.6708437761069346e-4	1000	103183775	103183795	17.653366088867188	70.37037037037037
Chr14_83Mb	chr14	83268830	83268849	+	chr15	85668982	85668993	0.0047619047619047615	1000	85668983	85668990	9.317561149597168	43.47826086956522
Chr14_83Mb	chr14	83268830	83268849	+	chr14	26907182	26907427	5.23154508473215e-18	68.52543201393152	26907274	26907299	20.135122299194336	64.51612903225806
Chr14_83Mb	chr14	83268830	83268849	+	chr19	29363254	29363303	8.668957657919866e-9	124.89769796259077	29363279	29363301	20.162559509277344	43.47826086956522
Chr14_83Mb	chr14	83268830	83268849	+	chr15	50778713	50779010	3.2458847832309947e-31	223.07656890430715	50778849	50778866	27.966236114501953	44.44444444444444
Chr15_86Mb	chr15	87017775	87017794	-	chr8	22491941	22492042	0.002164502164502166	1000	22491967	22491985	16.858871459960938	47.61904761904762
Chr15_86Mb	chr15	87017775	87017794	-	chr15	37472721	37472818	0.007936507936507936	1000	37472787	37472814	16.966232299804688	53.84615384615385
Chr15_86Mb	chr15	87017775	87017794	-	chr11	69580411	69580479	0.0037840529169499535	1000	69580416	69580445	13.966230392456055	50
Chr15_86Mb	chr15	87017775	87017794	-	chr15	73381209	73381261	0.007936507936507936	1000	73381220	73381258	9.466230392456055	45.45454545454545
Chr15_86Mb	chr15	87017775	87017794	-	chr17	39846152	39846183	0.004662004662004663	1000	39846154	39846169	9.144153594970703	43.75
Chr15_86Mb	chr15	87017775	87017794	-	chr17	39845198	39845407	0.0029796863476797596	8.904401164829414	39845239	39845266	11.171610832214355	51.42857142857143
Chr15_86Mb	chr15	87017775	87017794	-	chr12	111040495	111040517	0.00793650793650794	1000	111040496	111040506	8.340474128723145	26.923076923076923
Chr15_86Mb	chr15	87017775	87017794	-	chr16	8515478	8515506	8.740754466962558e-7	1000	8515478	8515489	11.144153594970703	38.46153846153846
Chr15_86Mb	chr15	87017775	87017794	-	chr7	16286497	16286513	1.8428424001179446e-5	1000	16286497	16286509	8.644153594970703	90
Chr15_86Mb	chr15	87017775	87017794	-	chr10	108333725	108333769	1.0825088224469033e-5	1000	108333726	108333755	12.055191993713379	54.166666666666664
Chr15_86Mb	chr15	87017775	87017794	-	chr17	26957600	26957648	2.5196312359185554e-10	1000	26957602	26957617	22.358875274658203	48.148148148148145
Chr15_86Mb	chr15	87017775	87017794	-	chr16	92517990	92518002	0.0012626262626262636	1000	92517992	92517998	0.8358054161071777	39.130434782608695
Chr15_86Mb	chr15	87017775	87017794	-	chr17	70270095	70270151	5.3174682336449895e-12	251.92754248838753	70270115	70270135	23.653366088867188	70.37037037037037
Chr15_86Mb	chr15	87017775	87017794	-	chr6	72436418	72436610	9.509810251839437e-32	1000	72436448	72436467	26.966236114501953	54.83870967741935
Chr15_86Mb	chr15	87017775	87017794	-	chr8	73357868	73357946	1.946314391979834e-12	1000	73357872	73357882	16.947834014892578	42.10526315789474
Chr15_86Mb	chr15	87017775	87017794	-	chr15	10548415	10548641	1.3113754939674017e-83	401.7383610721477	10548453	10548481	19.769912719726562	57.142857142857146
Chr15_86Mb	chr15	87017775	87017794	-	chr15	51970505	51970532	6.663046794493747e-12	1000	51970515	51970527	12.744585990905762	58.333333333333336
Chr15_86Mb	chr15	87017775	87017794	-	chr4	83316183	83318288	2.6272166472342487e-191	26.472689900344566	83317177	83317208	30.877277374267578	54.054054054054056
Chr15_86Mb	chr15	87017775	87017794	-	chr7	102715609	102715997	6.266020262294088e-68	646.1493424488953	102715745	102715771	19.635122299194336	62.5
Chr15_86Mb	chr15	87017775	87017794	-	chr19	41261523	41261570	1.015498601484492e-13	1000	41261538	41261553	17.751514434814453	46.15384615384615
Chr15_86Mb	chr15	87017775	87017794	-	chr16	50963723	50963797	1.1182209808128398e-46	619.6436351427687	50963772	50963790	19.67160987854004	69.23076923076923
Chr15_86Mb	chr15	87017775	87017794	-	chr7	34688965	34689170	4.649178418704725e-44	1000	34689090	34689125	25.573593139648438	47.22222222222222
Chr15_86Mb	chr15	87017775	87017794	-	chr7	132058571	132058606	6.153645290663524e-31	1000	132058577	132058600	12.358871459960938	50
Chr15_86Mb	chr15	87017775	87017794	-	chrX	159389951	159389953	7.326007326007321e-4	1000	159389951	159389951	-8.054731369018555	100
Chr15_86Mb	chr15	87017775	87017794	-	chr16	92516152	92516451	4.903787916567967e-104	1000	92516296	92516321	20.135122299194336	64.51612903225806
Chr15_86Mb	chr15	87017775	87017794	-	chr11	69580329	69580379	3.2947258604165107e-36	174.1620761793293	69580368	69580377	7.299317836761475	78.57142857142857
Chr15_86Mb	chr15	87017775	87017794	-	chr12	12990809	12995566	0	22.40928247148643	12995346	12995364	22.162551879882812	48.484848484848484
Chr17_41Mb	chr17	41491686	41491705	+	chr5	31093742	31093759	0.003030303030303031	1000	31093753	31093757	1.8722928762435913	70
Chr17_41Mb	chr17	41491686	41491705	+	chr2	33487595	33487607	9.99000999000998e-4	1000	33487595	33487605	9.781073570251465	85.71428571428571
Chr17_41Mb	chr17	41491686	41491705	+	chr7	31134838	31134855	4.995004995004997e-4	1000	31134841	31134852	10.262829780578613	54.166666666666664
Chr17_41Mb	chr17	41491686	41491705	+	chr11	112784584	112784677	2.1268003769013297e-4	45.03931377015333	112784588	112784610	24.769912719726562	36.666666666666664
Chr17_41Mb	chr17	41491686	41491705	+	chr9	46228439	46228486	1.1907597046915947e-4	1000	46228451	46228471	19.653366088867188	70.37037037037037
Chr17_41Mb	chr17	41491686	41491705	+	chr5	43453330	43453377	1.4478275347840591e-7	1000	43453349	43453366	20.662555694580078	40.74074074074074
Chr17_41Mb	chr17	41491686	41491705	+	chr17	56548366	56548560	4.390348760161503e-42	1000	56548388	56548411	22.966236114501953	52.63157894736842
Chr17_41Mb	chr17	41491686	41491705	+	chr13	17060914	17061073	9.449214335363173e-42	313.75621822857755	17060967	17060999	28.377277374267578	46.15384615384615
Chr17_41Mb	chr17	41491686	41491705	+	chr9	26920591	26920707	5.614352275406688e-10	175.30973503440546	26920613	26920639	32.0735969543457	48.38709677419355
Chr17_41Mb	chr17	41491686	41491705	+	chr11	107189112	107189313	9.916063678596766e-39	1000	107189182	107189199	24.17160987854004	72
Chr17_41Mb	chr17	41491686	41491705	+	chr5	136131732	136132366	5.685123991704271e-142	153.9987275331848	136132201	136132219	36.07360076904297	55.55555555555556
Chr17_41Mb	chr17	41491686	41491705	+	chr14	111202968	111204945	0	98.66526541707722	111204178	111204196	29.635122299194336	83.33333333333333
Chr17_41Mb	chr17	41491686	41491705	+	chr9	63674997	63675114	1.2752175803172327e-11	334.7622446500508	63675068	63675092	17.162551879882812	54.83870967741935
Chr2_129Mb	chr2	129961855	129961874	+	chr11	120282324	120282345	9.459139893922514e-5	1000	120282324	120282342	20.162555694580078	34.61538461538461
Chr3_47Mb	chr3	47249653	47249672	+	chr8	84208764	84208826	1.2899896800825582e-4	1000	84208801	84208824	16.358871459960938	57.69230769230769
Chr3_47Mb	chr3	47249653	47249672	+	chr8	24450551	24450644	8.139510257521487e-8	168.7839168681409	24450607	24450627	19.653366088867188	70.37037037037037
Chr3_47Mb	chr3	47249653	47249672	+	chr12	34660121	34660224	3.4798490543072895e-14	1000	34660151	34660169	30.769916534423828	47.22222222222222
Chr3_47Mb	chr3	47249653	47249672	+	chr8	125920692	125920719	0.004662004662004663	1000	125920692	125920717	21.966232299804688	61.53846153846154
Chr3_47Mb	chr3	47249653	47249672	+	chr15	68214377	68214618	1.1513045012669312e-17	275.84148735561456	68214465	68214488	33.0986328125	81.48148148148148
Chr3_47Mb	chr3	47249653	47249672	+	chr18	32248540	32248572	3.1781928100565743e-8	129.69354008433362	32248542	32248566	12.555191993713379	91.66666666666667
Chr3_47Mb	chr3	47249653	47249672	+	chr7	79828139	79828436	2.8430162417518226e-37	96.19374519650687	79828261	79828294	35.18095779418945	58.333333333333336
Chr3_47Mb	chr3	47249653	47249672	+	chr9	47993204	47993634	2.8992895611834997e-29	82.61266703607589	47993316	47993335	19.662551879882812	55.55555555555556
Chr3_47Mb	chr3	47249653	47249672	+	chr12	75596151	75596391	5.658719043372464e-22	130.04219444327308	75596236	75596255	27.135122299194336	80
Chr3_47Mb	chr3	47249653	47249672	+	chr3	135689110	135691312	0	59.10078789954162	135690669	135690694	33.87727737426758	65.21739130434783
Chr3_47Mb	chr3	47249653	47249672	+	chr11	77906012	77907282	3.865528048581324e-195	104.61352969745514	77906317	77906338	35.87727737426758	52.5
Chr4_51Mb	chr4	51714831	51714850	+	chr6	109157345	109157436	4.3530017709639745e-13	285.7296652609197	109157416	109157434	22.653366088867188	79.16666666666667
Chr4_51Mb	chr4	51714831	51714850	+	chr6	53319765	53319855	1.4523397992953576e-8	1000	53319789	53319809	31.073596954345703	61.29032258064516
Chr4_51Mb	chr4	51714831	51714850	+	chr14	121293925	121293961	3.330003330003325e-4	1000	121293934	121293954	17.653366088867188	70.37037037037037
Chr4_51Mb	chr4	51714831	51714850	+	chr5	117277059	117277194	1.556400021091225e-10	58.20174256285798	117277084	117277103	30.269916534423828	52
Chr5_101Mb	chr5	101092193	101092212	+	chr6	35198293	35198436	0.0033730974907445464	40.83632054193505	35198370	35198388	28.769916534423828	51.515151515151516
Chr5_101Mb	chr5	101092193	101092212	+	chr7	79136973	79136993	3.267973856209152e-4	1000	79136978	79136991	10.244585990905762	63.63636363636363
Chr5_101Mb	chr5	101092193	101092212	+	chr1	51092485	51092529	0.0013986013986013986	1000	51092494	51092511	32.1351203918457	86.95652173913044
Chr5_101Mb	chr5	101092193	101092212	+	chr5	118747586	118747702	6.694258161121132e-11	166.71703897935066	118747606	118747628	35.59862518310547	84.61538461538461
Chr5_101Mb	chr5	101092193	101092212	+	chr7	3696627	3696640	0.002164502164502166	1000	3696629	3696634	6.929435729980469	63.63636363636363
Chr5_101Mb	chr5	101092193	101092212	+	chr3	95935193	95935237	7.027470984371975e-6	1000	95935195	95935216	45.18096160888672	37.5
Chr5_101Mb	chr5	101092193	101092212	+	chr4	83521710	83521796	1.724823814172538e-8	140.53854783951698	83521756	83521775	33.5735969543457	58.333333333333336
Chr5_101Mb	chr5	101092193	101092212	+	chr13	48760658	48760689	1.190759704691593e-4	1000	48760663	48760681	28.769920349121094	42.857142857142854
Chr5_101Mb	chr5	101092193	101092212	+	chr2	164990712	164991200	2.1293658261141925e-51	47.48038674441745	164990844	164990866	32.0735969543457	57.142857142857146
Chr5_101Mb	chr5	101092193	101092212	+	chr5	129293649	129293947	1.7084715315033945e-36	229.90805039577006	129293776	129293804	32.37727737426758	43.18181818181818
Chr5_101Mb	chr5	101092193	101092212	+	chr5	78627032	78627244	7.541350498178479e-13	35.187798603795216	78627091	78627109	22.653366088867188	76
Chr5_101Mb	chr5	101092193	101092212	+	chr12	62540883	62541039	1.0736068508283646e-19	60.59507509768753	62540989	62541028	12.966230392456055	56.52173913043478
Chr5_101Mb	chr5	101092193	101092212	+	chr5	92627573	92627692	1.5405397095692167e-10	156.666593973428	92627615	92627636	45.18096160888672	56
Chr5_101Mb	chr5	101092193	101092212	+	chr7	102479134	102479179	3.402170584833118e-5	1000	102479134	102479151	26.662555694580078	52
Chr5_101Mb	chr5	101092193	101092212	+	chr5	138174038	138174806	3.668297373869762e-74	91.35947870968754	138174193	138174214	37.87727737426758	59.25925925925926
Chr5_101Mb	chr5	101092193	101092212	+	chr16	4952605	4952651	1.1853558764313914e-7	1000	4952612	4952633	34.5735969543457	48
Chr5_101Mb	chr5	101092193	101092212	+	chr11	115685666	115685965	3.539311938958159e-55	167.6548542297101	115685810	115685830	33.616878509521484	84
Chr5_101Mb	chr5	101092193	101092212	+	chr5	9238053	9242500	0	17.513986320934578	9240949	9240966	27.153366088867188	79.16666666666667
Chr5_101Mb	chr5	101092193	101092212	+	chr5	108218586	108218671	7.287363188575651e-11	1000	108218600	108218629	32.57360076904297	51.851851851851855
Chr5_101Mb	chr5	101092193	101092212	+	chrX	48676360	48676383	1.5541061442259427e-4	65.55571623314499	48676367	48676381	21.708097457885742	88.88888888888889
Chr5_101Mb	chr5	101092193	101092212	+	chr14	64431387	64431444	0.009695152423788106	15.651149486810477	64431394	64431414	33.61687469482422	84
Chr5_101Mb	chr5	101092193	101092212	+	chr2	165365425	165368542	3.620368959232844e-190	21.332776391245268	165367249	165367268	27.135122299194336	80
Chr5_101Mb	chr5	101092193	101092212	+	chr10	75648793	75650614	9.045847756942583e-134	31.071269471647973	75649892	75649910	36.0735969543457	64.28571428571429
Chr5_101Mb	chr5	101092193	101092212	+	chr5	129462276	129462376	1.1095054643936415e-4	13.923765316200454	129462339	129462364	25.116878509521484	70
Chr6_70Mb	chr6	70950106	70950125	-	chr6	97305710	97305741	5.827505827505836e-4	1000	97305711	97305736	10.662550926208496	50
Chr6_70Mb	chr6	70950106	70950125	-	chr1	76958888	76958932	9.267403558872646e-8	164.44764919958027	76958904	76958922	27.466236114501953	43.47826086956522
Chr6_70Mb	chr6	70950106	70950125	-	chr17	35870138	35870163	2.4880779597760753e-5	52.29954357696335	35870138	35870156	14.858871459960938	40
Chr6_70Mb	chr6	70950106	70950125	-	chr6	83534125	83534192	0.004662004662004662	1000	83534140	83534170	10.162550926208496	43.18181818181818
Chr6_70Mb	chr6	70950106	70950125	-	chr12	111762015	111762117	1.1804093928539474e-14	96.90944131173336	111762046	111762066	31.769916534423828	41.1764705882353
Chr6_70Mb	chr6	70950106	70950125	-	chr11	5510428	5510484	6.407860585073336e-14	308.50802070751945	5510438	5510459	14.171609878540039	62.06896551724138
Chr6_70Mb	chr6	70950106	70950125	-	chr2	162022643	162022902	5.685051896347797e-35	160.5033925941335	162022778	162022796	28.769916534423828	57.142857142857146
Chr6_70Mb	chr6	70950106	70950125	-	chr4	141559295	141560646	6.043209687044511e-279	169.7197875730652	141560583	141560606	21.135122299194336	68.96551724137932
Chr6_70Mb	chr6	70950106	70950125	-	chr6	116863574	116863618	2.1268003769013292e-4	45.40543186541969	116863594	116863612	18.68985366821289	62.96296296296296
Chr7_80Mb	chr7	73307052	73307071	+	chr14	70353316	70353380	6.64429535128017e-22	1000	70353344	70353362	22.653366088867188	76
Chr7_80Mb	chr7	73307052	73307071	+	chr13	42478909	42478919	5.827505827505835e-4	1000	42478909	42478917	9.340474128723145	26.08695652173913
Chr7_80Mb	chr7	73307052	73307071	+	chr7	16744418	16744508	7.142763050838898e-15	1000	16744437	16744455	30.769916534423828	45.833333333333336
Chr7_80Mb	chr7	73307052	73307071	+	chr11	113174772	113175007	8.275585901295222e-48	1000	113174915	113174934	20.153366088867188	73.07692307692308
Chr7_80Mb	chr7	73307052	73307071	+	chr4	5770072	5770147	8.781109929283147e-22	675.6402926974607	5770096	5770112	35.769920349121094	58.62068965517241
Chr7_80Mb	chr7	73307052	73307071	+	chr10	56995066	56995125	3.651546463594056e-14	1000	56995069	56995087	28.769916534423828	47.05882352941177
Chr7_80Mb	chr7	73307052	73307071	+	chr9	119410822	119410847	1.0825088224469033e-5	1000	119410824	119410845	13.358871459960938	70.58823529411765
Chr7_80Mb	chr7	73307052	73307071	+	chr1	107266149	107266204	2.30100753406173e-10	163.74747785770205	107266168	107266185	27.153366088867188	79.16666666666667
Chr7_80Mb	chr7	73307052	73307071	+	chr2	161982281	161982645	2.6947992885622338e-52	129.3351612787163	161982494	161982514	31.616878509521484	84
Chr8_61Mb	chr8	59477700	59477719	-	chr13	81273660	81273663	0.0047619047619047615	1000	81273660	81273661	-5.572975158691406	100
Chr8_61Mb	chr8	59477700	59477719	-	chr15	43988087	43988184	4.680452236109517e-38	1000	43988141	43988159	21.67160987854004	69.23076923076923
Chr8_61Mb	chr8	59477700	59477719	-	chr2	24252376	24252557	3.726842606059199e-27	121.71603652342844	24252519	24252542	23.135122299194336	68.96551724137932
Chr8_61Mb	chr8	59477700	59477719	-	chr4	139088934	139089217	1.6903052794070773e-32	51.05351980445076	139089063	139089082	27.135122299194336	80
Chr8_61Mb	chr8	59477700	59477719	-	chr14	22764896	22769044	0	39.17688547220507	22766300	22766318	31.635120391845703	83.33333333333333
Chr8_61Mb	chr8	59477700	59477719	-	chr6	32876245	32876590	1.0461919504957367e-117	65.26089174588243	32876434	32876460	25.635122299194336	62.5
Chr9_25Mb	chr9	26134712	26134731	-	chr3	75883429	75883458	0.001785714285714286	1000	75883429	75883449	25.769916534423828	46.42857142857143
Chr9_25Mb	chr9	26134712	26134731	-	chr3	75883404	75883408	0.00879120879120878	1000	75883405	75883406	-4.285282135009766	21.05263157894737
ChrX_96Mb	chrX	99338620	99338639	-	chr2	71801366	71801390	7.770007770007778e-4	1000	71801375	71801388	9.262829780578613	72.22222222222223
ChrX_96Mb	chrX	99338620	99338639	-	chr4	145222463	145222657	2.4618324294067187e-14	67.34904726919319	145222591	145222609	31.466236114501953	64.28571428571429
ChrX_96Mb	chrX	99338620	99338639	-	chr6	110773436	110773924	3.617071969781175e-51	98.45159781608653	110773679	110773697	31.466236114501953	62.06896551724138
