tlx_group	rdc_significant_maxscore	rdc_significant_length	rdc_chrom	rdc_extended_start	rdc_extended_end	rdc_start	rdc_end	rdc_significant_orientation	rdc_significant_orientation_count	rdc_subset	rdc_gene	rdc_gene_strand	rdc_gene_overlap	rdc_name	rdc_length	rdc_extended_length	rdc_bootstrap_pvalue	rdc_bootstrap_fc	rdc_is_significant	rdc_group	rdc_peak_shape	rdc_is_biphasic	rdc_DRIP_peaks	rdc_forks	rdc_sizesize
APH-Inter	2.768035266405012	16913	chr2	37480932	37698171	37525331	37590815	telomeric	1+0-1*	Wei+DKFZ	Strbp	-	128303	RDC-chr2-37.6	65484	217239	7.82257748891949e-7	2.662975022435566	FALSE	NA	NA	NA	NA	NA	NA
APH-Inter	2.7825802918623608	12950	chr9	91334493	91530493	91356302	91419310	centromeric	0+1-0*	DKFZ	Gm29478	+	127000	RDC-chr9-91.4	63008	196000	6.657785174882205e-6	2.8324269253542256	FALSE	NA	NA	NA	NA	NA	NA
APH-Inter	2.7830966578652987	29315	chr11	80330508	80588508	80444983	80516482	centromeric	0+1-0*	DKFZ	Myo1d	-	106382	RDC-chr11-80.5	71499	258000	0.0018290410491698266	1.9026511803982313	FALSE	NA	NA	NA	NA	NA	NA
APH-Inter	2.7896384272422123	44654	chr9	109994493	110279548	110156658	110235852	telomeric	1+0-1*	Wei+DKFZ	Map4	+	89461	RDC-chr9-110.2	79194	285055	3.968656482644892e-10	2.8563960252518346	FALSE	1	Twin	FALSE	3	NA	NA
APH-Inter	2.797776291408852	27637	chr8	77400415	77560415	77419195	77515522	telomeric	1+0-0*	Wei+DKFZ	Arhgap10	-	117538	RDC-chr8-77.5	96327	160000	0.001312032606636648	2.085421011293773	FALSE	NA	NA	NA	NA	NA	NA
APH-Inter	2.8225221342714284	93318	chr17	62608737	62876737	62635433	62779473	centromeric	0+1-0*	Wei+DKFZ	Efna5	-	268000	RDC-chr17-62.7	144040	268000	8.712688722549323e-8	3.1992209846705326	FALSE	1	Twin	FALSE	2	Left-moving	303825
APH-Inter	2.8669529586227913	139085	chr8	77210579	77578579	77381454	77515510	telomeric	1+0-0*	DKFZ	Nr3c2	+	33431	RDC-chr8-77.4	134056	368000	2.7195106557762527e-8	2.666155653499746	TRUE	NA	NA	NA	NA	NA	NA
APH-Inter	2.8681335726278694	45850	chr4	104483525	104795525	104642391	104701530	telomeric	1+0-0*	Wei+DKFZ	Dab1	+	261319	RDC-chr4-104.7	59139	312000	1.291126125221451e-4	2.2026679253340524	FALSE	1	Twin	FALSE	0	NA	NA
APH-Inter	2.8844845714354594	68707	chr6	27616659	27876250	27633859	27845144	telomeric	1+0-1*	DKFZ	Grm8	-	259591	RDC-chr6-27.7	211285	259591	1.4920015190173026e-7	3.650573102726382	FALSE	1	Twin	FALSE	0	Left-moving	532234
APH-Inter	2.8846558947327123	14066	chr14	27011662	27157662	27033718	27105353	centromeric	0+1-1*	DKFZ	Arhgef3	+	42840	RDC-chr14-27.1	71635	146000	6.417838335796087e-6	3.8979654477685295	FALSE	NA	NA	NA	NA	NA	NA
APH-Inter	2.886288721312943	37009	chr9	15928583	16208583	15964439	16060430	centromeric	0+1-0*	DKFZ	Fat3	-	280000	RDC-chr9-16.0	95991	280000	4.510578200991189e-5	2.2131492070038563	FALSE	NA	NA	NA	NA	NA	NA
APH-Inter	2.89752882694116	29630	chr11	113493201	113775201	113617384	113692309	telomeric	1+0-0*	Wei+DKFZ	Slc39a11	-	157305	RDC-chr11-113.7	74925	282000	5.028637454015117e-7	2.5639691729900007	FALSE	2	Largely overlap	FALSE	7	NA	NA
APH-Inter	2.89752882694116	85965	chr11	76235619	76539619	76388460	76508677	telomeric	1+0-1*	Wei+DKFZ	Abr	-	122887	RDC-chr11-76.4	120217	304000	1.7893966504756017e-7	2.5219816893621094	FALSE	NA	NA	NA	NA	NA	NA
APH-Inter	2.9018120845510422	12492	chr11	104300161	104444161	104320644	104383195	centromeric	0+1-0*	DKFZ	Kansl1	-	110932	RDC-chr11-104.4	62551	144000	2.5970718808966334e-4	2.7410257761847028	FALSE	NA	NA	NA	NA	NA	NA
APH-Inter	2.9022414917232635	74524	chr13	89060501	89324501	89169604	89267459	telomeric	1+0-0*	DKFZ	Edil3	+	262724	RDC-chr13-89.2	97855	264000	5.038031280655436e-5	2.4126186035195847	FALSE	NA	NA	NA	NA	NA	NA
APH-Inter	2.9111427348804866	14803	chr18	13686531	13858531	13712920	13768083	centromeric	0+1-0*	Wei+DKFZ	Zfp521	-	171518	RDC-chr18-13.7	55163	172000	6.818037589839413e-4	1.9811210814590374	FALSE	NA	NA	NA	NA	NA	NA
APH-Inter	2.9440091829831796	150848	chr12	66620893	67125673	66778470	66965708	bidirectional	1+1-1*	DKFZ	Mdga2	-	504780	RDC-chr12-66.9	187238	504780	2.1542125604458894e-21	4.196167845187867	TRUE	1	Twin	FALSE	0	NA	NA
APH-Inter	2.944343262626707	53661	chr16	33825036	34187036	33941389	34027769	centromeric	0+1-0*	Wei+DKFZ	Kalrn	-	217963	RDC-chr16-34.0	86380	362000	1.642401226592018e-7	2.359282204805092	FALSE	NA	NA	NA	NA	NA	NA
APH-Inter	2.953534187929467	64962	chr3	95625563	95899563	95731071	95790188	telomeric	1+0-1*	DKFZ	NA	NA	NA	RDC-chr3-95.8	59117	274000	2.46358434422021e-8	2.9413579612069856	FALSE	NA	NA	NA	NA	NA	NA
APH-Inter	2.9695202756860954	37097	chr9	120919101	121035101	120941593	121012454	combined	0+0-1*	Wei+DKFZ	Ulk4	-	70647	RDC-chr9-121.0	70861	116000	1.6969085418214432e-5	2.92626442342589	FALSE	NA	NA	NA	NA	NA	NA
APH-Inter	2.9935746885860137	79487	chr8	37894527	38224527	37995178	38096905	centromeric	0+1-0*	DKFZ	Sgcz	-	330000	RDC-chr8-38.0	101727	330000	7.37480530897103e-9	2.828963194611499	FALSE	1	Twin	FALSE	0	Convergent	536682
APH-Inter	2.995888740061152	73673	chr15	103121610	103414592	103180472	103278722	bidirectional	1+1-1*	Wei+DKFZ	NA	NA	NA	RDC-chr15-103.2	98250	292982	1.373370233543305e-6	2.621615994941823	FALSE	NA	NA	NA	NA	NA	NA
APH-Inter	3.005314395432407	49716	chr7	132939707	133163707	132992198	133075590	bidirectional	1+1-1*	DKFZ	Ctbp2	-	136738	RDC-chr7-133.0	83392	224000	6.245743790367312e-6	3.4040907112808854	FALSE	NA	NA	NA	NA	NA	NA
APH-Inter	3.0127707892271953	37575	chr16	35492149	35676149	35521717	35571717	centromeric	0+1-0*	Wei	Sema5b	+	123107	RDC-chr16-35.5	50000	184000	8.637692485521543e-5	2.7736315107430864	FALSE	NA	NA	NA	NA	NA	NA
APH-Inter	3.019653354728712	137473	chr5	57715171	58168726	57757108	58087818	bidirectional	1+1-0*	Wei+DKFZ	Pcdh7	+	415640	RDC-chr5-57.9	330710	453555	1.9232650609680467e-10	2.9299715476961876	TRUE	1	Twin	FALSE	0	NA	NA
APH-Inter	3.020786780737709	43389	chr9	120906331	121050331	120929042	121022531	centromeric	0+1-1*	DKFZ	Ulk4	-	85877	RDC-chr9-121.0	93489	144000	7.095878868102854e-6	3.187770552969517	FALSE	NA	NA	NA	NA	NA	NA
APH-Inter	3.0210744844125355	97015	chr11	76234222	76538222	76264793	76437591	bidirectional	1+1-1*	DKFZ	Abr	-	121490	RDC-chr11-76.4	172798	304000	8.355734350446044e-8	2.7407628265406756	FALSE	NA	NA	NA	NA	NA	NA
APH-Inter	3.0238699801319178	32072	chr15	35813423	35957423	35848521	35933267	telomeric	1+0-0*	DKFZ	Vps13b	+	117806	RDC-chr15-35.9	84746	144000	0.0013921961124239584	2.4127310061601643	FALSE	NA	NA	NA	NA	NA	NA
APH-Inter	3.0238699801319178	42161	chr15	32530727	32726727	32608843	32688674	telomeric	1+0-0*	DKFZ	Sema5a	+	165614	RDC-chr15-32.6	79831	196000	2.6584176138065764e-5	2.57563525929343	FALSE	NA	NA	NA	NA	NA	NA
APH-Inter	3.0238699801319178	65865	chr15	80965760	81245760	81059403	81189893	telomeric	1+0-0*	DKFZ	Mkl1	-	178476	RDC-chr15-81.1	130490	280000	7.139228713715285e-8	2.8028334097742444	FALSE	NA	NA	NA	NA	NA	NA
APH-Inter	3.0271829427228205	72474	chr2	67879161	68165333	67968692	68087345	telomeric	1+0-1*	Wei+DKFZ	B3galt1	+	243721	RDC-chr2-68.0	118653	286172	1.866794380667001e-8	2.9377707817251535	FALSE	NA	NA	NA	NA	NA	NA
APH-Inter	3.0300006171728144	38571	chr9	56396184	56552184	56419411	56523854	telomeric	1+0-0*	Wei	Peak1	-	22046	RDC-chr9-56.5	104443	156000	0.003935207007604716	2.3905867132596703	FALSE	2	Largely overlap	FALSE	2	NA	NA
APH-Inter	3.043061992153384	22796	chr2	41354117	41586117	41488396	41551973	centromeric	0+1-0*	Wei	Lrp1b	-	232000	RDC-chr2-41.5	63577	232000	0.001091187023911064	3.04236262606325	FALSE	1	Single	FALSE	0	NA	NA
APH-Inter	3.0483793057042017	215035	chr17	90238986	90872323	90344355	90708400	bidirectional	2+1-1*	Wei	Nrxn1	-	633337	RDC-chr17-90.5	364045	633337	5.870208998537906e-17	3.4631203660566703	TRUE	1	Twin	FALSE	0	NA	NA
APH-Inter	3.052465602093611	82219	chr8	72699845	72963845	72796398	72913211	centromeric	0+1-0*	Wei+DKFZ	Large	-	149247	RDC-chr8-72.9	116813	264000	7.54491048096898e-6	2.32244445103113	FALSE	1	Single	FALSE	2	NA	468000
APH-Inter	3.052698207119669	61862	chr3	126907026	127147244	126923963	127022331	centromeric	0+1-1*	Wei+DKFZ	Ank2	-	225637	RDC-chr3-127.0	98368	240218	1.509229906444682e-7	2.6492969154206927	FALSE	1	Single	FALSE	0	NA	NA
APH-Inter	3.054665601336945	85185	chr1	135357718	135609718	135483798	135577193	centromeric	0+1-0*	DKFZ	Nav1	-	175138	RDC-chr1-135.5	93395	252000	5.302049233522794e-5	2.218620982366786	FALSE	NA	NA	NA	NA	NA	NA
APH-Inter	3.0578900666074285	67676	chr17	10990709	11276709	11123405	11205785	telomeric	1+0-1*	DKFZ	Park2	+	286000	RDC-chr17-11.2	82380	286000	2.7836900822226854e-8	3.446304459968206	FALSE	2	Twin	FALSE	0	NA	604000
APH-Inter	3.065583308481396	51297	chr4	155037354	155289354	155144282	155243891	telomeric	1+0-1*	Wei+DKFZ	Prkcz	-	29236	RDC-chr4-155.2	99609	252000	5.662439735950848e-6	2.644314528038096	FALSE	2	Twin; Largely overlap	FALSE	11	NA	NA
APH-Inter	3.0770209829774604	18608	chr15	63908064	64120064	63926871	63998840	centromeric	0+1-0*	DKFZ	Asap1	-	33224	RDC-chr15-64.0	71969	212000	3.7293807439393964e-4	2.1955235713850096	FALSE	NA	NA	NA	NA	NA	NA
APH-Inter	3.081530986337148	10895	chr18	13678402	13862402	13709386	13767934	centromeric	0+1-0*	DKFZ	Zfp521	-	175389	RDC-chr18-13.7	58548	184000	8.542357234302768e-5	2.366566139648274	FALSE	NA	NA	NA	NA	NA	NA
APH-Inter	3.0819847699481673	165380	chr17	3106001	3566001	3202925	3530983	bidirectional	1+1-1*	Wei+DKFZ	Tiam2	+	193101	RDC-chr17-3.4	328058	460000	1.0459825267725547e-9	2.911652325274992	TRUE	2	Twin	FALSE	1	NA	410000
APH-Inter	3.0876304073591183	66044	chr16	33861561	34163561	33933089	34025955	centromeric	0+1-0*	DKFZ	Kalrn	-	194488	RDC-chr16-34.0	92866	302000	9.876474809692386e-7	2.643830292620484	FALSE	NA	NA	NA	NA	NA	NA
APH-Inter	3.0945969312467287	32592	chr9	71806935	72000935	71828163	71918244	centromeric	0+1-0*	DKFZ	Tcf12	-	156683	RDC-chr9-71.9	90081	194000	3.7780261366553326e-5	2.6732256031438717	FALSE	NA	NA	NA	NA	NA	NA
APH-Inter	3.0959934531927997	28822	chr6	15103445	15257445	15145831	15224458	telomeric	1+0-0*	DKFZ	Foxp2	+	154000	RDC-chr6-15.2	78627	154000	8.63516894739946e-5	3.3314640118600125	FALSE	NA	NA	NA	NA	NA	NA
APH-Inter	3.0959934531927997	47891	chr6	34595081	34813081	34713464	34767950	telomeric	1+0-1*	DKFZ	Cald1	+	176973	RDC-chr6-34.7	54486	218000	3.414942451712007e-7	3.77155471250215	FALSE	NA	NA	NA	NA	NA	NA
APH-Inter	3.1130926619380284	80719	chr2	32652040	33050040	32766267	32967386	centromeric	0+1-0*	DKFZ	Garnl3	-	63815	RDC-chr2-32.9	201119	398000	5.4020536486124175e-11	3.053413073595774	FALSE	NA	NA	NA	NA	NA	NA
APH-Inter	3.118639279214515	192914	chr1	33440617	33830617	33501776	33772383	telomeric	1+0-1*	DKFZ	Prim2	-	215986	RDC-chr1-33.6	270607	390000	3.8105908501400475e-12	3.0598130294132524	TRUE	2	Largely overlap	FALSE	3	NA	NA
APH-Inter	3.1276709786977004	12922	chr4	126649025	126767025	126676055	126741936	centromeric	0+1-0*	Wei	AU040320	+	13470	RDC-chr4-126.7	65881	118000	0.003429650551741815	2.677884025306004	FALSE	NA	NA	NA	NA	NA	NA
APH-Inter	3.137545783378081	187011	chr1	33453783	33808927	33526414	33770243	telomeric	1+0-1*	Wei+DKFZ	Prim2	-	215986	RDC-chr1-33.6	243829	355144	7.443477046798453e-10	2.564623160684327	TRUE	2	Largely overlap	FALSE	3	NA	NA
APH-Inter	3.148319593927641	34366	chrX	42923428	43187428	43083856	43148092	telomeric	1+0-0*	DKFZ	Tenm1	-	264000	RDC-chrX-43.1	64236	264000	2.2267155237842834e-7	4.337799253239623	FALSE	NA	NA	NA	NA	NA	NA
APH-Inter	3.149852598147977	46124	chr3	88956785	89246746	89021649	89108268	telomeric	1+0-1*	DKFZ	Ash1l	+	122590	RDC-chr3-89.1	86619	289961	7.118771633262655e-7	2.6351012213485023	FALSE	3	Multiple; Largely overlap	FALSE	43	NA	NA
APH-Inter	3.150355100978132	69677	chr13	15465824	15747852	15487858	15725616	bidirectional	1+1-1*	Wei+DKFZ	Gli3	+	264202	RDC-chr13-15.6	237758	282028	2.639640689479548e-6	2.659733428964198	FALSE	1	Twin	FALSE	1	NA	NA
APH-Inter	3.153410863662601	29599	chr6	115935031	116125031	116006745	116083598	centromeric	0+1-0*	Wei+DKFZ	Tmcc1	-	106420	RDC-chr6-116.0	76853	190000	2.7302727132892524e-7	3.5239537431203942	FALSE	NA	NA	NA	NA	NA	NA
APH-Inter	3.1579539527095175	42066	chr7	132944338	133163707	132986234	133075590	bidirectional	1+1-1*	Wei+DKFZ	Ctbp2	-	136738	RDC-chr7-133.0	89356	219369	1.2333430548956154e-6	2.9870397846187102	FALSE	NA	NA	NA	NA	NA	NA
APH-Inter	3.1726743903888606	14677	chr18	22881106	22993106	22895203	22973379	telomeric	1+0-0*	Wei	Nol4	-	112000	RDC-chr18-22.9	78176	112000	0.06298722889184319	1.7354415734670265	FALSE	NA	NA	NA	NA	NA	NA
APH-Inter	3.1815840014584476	73315	chr14	25422478	25762417	25559584	25661508	bidirectional	1+1-1*	Wei+DKFZ	Zmiz1	+	207874	RDC-chr14-25.6	101924	339939	2.862718237220998e-12	3.6990416506973363	FALSE	1	Largely overlap	FALSE	5	NA	NA
APH-Inter	3.183919881925373	34440	chr4	110552665	110854665	110650093	110702288	centromeric	0+1-0*	DKFZ	Agbl4	+	302000	RDC-chr4-110.7	52195	302000	1.1714223799009969e-6	2.713320507600337	FALSE	2	Multiple	FALSE	0	NA	NA
APH-Inter	3.196054504432269	179266	chr12	66632608	67157673	66783513	66967646	bidirectional	1+1-1*	Wei+DKFZ	Mdga2	-	525065	RDC-chr12-66.9	184133	525065	1.1999917250682627e-17	3.6733817193247416	TRUE	1	Twin	FALSE	0	NA	NA
APH-Inter	3.2156865650706443	179604	chr5	57717171	58171620	57752789	58107579	bidirectional	1+1-0*	DKFZ	Pcdh7	+	415640	RDC-chr5-57.9	354790	454449	1.0233638932607439e-11	3.4756045053125915	TRUE	1	Twin	FALSE	0	NA	NA
APH-Inter	3.2177848234814	41283	chr1	160174962	160404962	160203564	160253564	centromeric	0+1-0*	DKFZ	Rabgap1l	-	185788	RDC-chr1-160.2	50000	230000	3.8949661876085655e-6	2.577556844333978	FALSE	NA	NA	NA	NA	NA	NA
APH-Inter	3.2258064753368703	12923	chr4	132914722	133162096	133016207	133076948	bidirectional	1+1-1*	DKFZ	NA	NA	NA	RDC-chr4-133.0	60741	247374	3.98057765853548e-6	3.162389748461125	FALSE	NA	NA	NA	NA	NA	NA
APH-Inter	3.2379601171655357	14586	chr2	29939805	30151805	29980421	30044420	combined	0+0-1*	DKFZ	NA	NA	NA	RDC-chr2-30.0	63999	212000	1.2693302302553705e-6	2.979891443988368	FALSE	NA	NA	NA	NA	NA	NA
APH-Inter	3.272640138598395	120192	chr15	80964133	81266133	81046351	81195731	telomeric	1+0-0*	Wei+DKFZ	Mkl1	-	178476	RDC-chr15-81.1	149380	302000	3.2811767182978754e-7	2.4605941545712473	TRUE	NA	NA	NA	NA	NA	NA
APH-Inter	3.2832903595085896	36980	chr11	107324717	107561662	107353568	107447279	telomeric	1+0-1*	Wei	Pitpnc1	-	146188	RDC-chr11-107.4	93711	236945	1.0887869997448594e-4	2.4912075029308323	FALSE	NA	NA	NA	NA	NA	NA
APH-Inter	3.285686043578539	125722	chr1	3280001	3636001	3360774	3519834	bidirectional	1+1-1*	Wei+DKFZ	Xkr4	-	356000	RDC-chr1-3.4	159060	356000	5.62856264272713e-9	2.4881757560808846	TRUE	1	Twin	FALSE	0	NA	NA
APH-Inter	3.28798543721114	133087	chr2	41906797	42362797	41937256	42195971	telomeric	1+0-1*	Wei+DKFZ	Lrp1b	-	456000	RDC-chr2-42.1	258715	456000	4.60946069726581e-14	2.8760086611507467	TRUE	NA	NA	NA	NA	NA	NA
APH-Inter	3.2908197746217303	16223	chr8	127424008	127714008	127544256	127605041	telomeric	1+0-0*	Wei	Pard3	+	188278	RDC-chr8-127.6	60785	290000	4.838237890958495e-4	2.1541173014785078	FALSE	1	Twin	FALSE	1	NA	NA
APH-Inter	3.292585119127706	64318	chr11	113431201	113773212	113608214	113744620	telomeric	1+0-1*	DKFZ	Slc39a11	-	219305	RDC-chr11-113.7	136406	342011	2.704983839188558e-8	2.8240673194611734	FALSE	2	Largely overlap	FALSE	7	NA	NA
APH-Inter	3.2928517130914554	33337	chr13	119589548	119821548	119665615	119720939	telomeric	1+0-0*	Wei+DKFZ	Gm7120	+	20911	RDC-chr13-119.7	55324	232000	1.4399760043713877e-5	2.522028341293485	FALSE	NA	NA	NA	NA	NA	NA
APH-Inter	3.2930175655260743	42463	chr19	50167558	50335558	50202255	50270285	centromeric	0+1-0*	Wei	Sorcs1	-	168000	RDC-chr19-50.2	68030	168000	0.006691256489050591	1.97555253735029	FALSE	NA	NA	NA	NA	NA	NA
APH-Inter	3.2961029250017093	180157	chr17	62598868	62910543	62634285	62877270	bidirectional	1+1-1*	DKFZ	Efna5	-	278360	RDC-chr17-62.8	242985	311675	9.652138274239599e-11	3.7578431425685936	TRUE	1	Twin	FALSE	2	Left-moving	303825
APH-Inter	3.30124736208299	52431	chr4	142044403	142260403	142125893	142223856	centromeric	0+1-1*	Wei+DKFZ	Kazn	-	137011	RDC-chr4-142.2	97963	216000	6.5943516413922e-5	2.554470035759675	FALSE	2	Single	FALSE	0	NA	NA
APH-Inter	3.306096865927905	30449	chr11	117251010	117407010	117287740	117368292	centromeric	0+1-1*	DKFZ	Sept9	+	111315	RDC-chr11-117.3	80552	156000	3.669889305728073e-4	2.3981029222172343	FALSE	NA	NA	NA	NA	NA	NA
APH-Inter	3.309471775472626	26132	chr2	37469676	37702171	37508370	37594866	telomeric	1+0-1*	DKFZ	Strbp	-	132303	RDC-chr2-37.6	86496	232495	8.160106079824309e-8	3.2865473839369614	FALSE	NA	NA	NA	NA	NA	NA
APH-Inter	3.310482215717743	28810	chr9	109995632	110267632	110145944	110231614	telomeric	1+0-1*	DKFZ	Map4	+	88322	RDC-chr9-110.2	85670	272000	7.783198220182116e-7	2.8020806939621123	FALSE	1	Twin	FALSE	3	NA	NA
APH-Inter	3.315049711784525	60861	chr19	7208950	7484950	7282029	7352378	centromeric	0+1-0*	Wei	NA	NA	NA	RDC-chr19-7.3	70349	276000	1.0661870455174339e-4	2.3559108119478336	FALSE	NA	NA	NA	NA	NA	NA
APH-Inter	3.3169146257657904	140351	chr8	72701577	73081577	72729707	72925781	centromeric	0+1-0*	DKFZ	Large	-	266979	RDC-chr8-72.8	196074	380000	1.762048220745225e-9	2.7158895659671103	TRUE	1	Single	FALSE	2	NA	468000
APH-Inter	3.332657484992618	13482	chr3	95782220	95906220	95804712	95869840	telomeric	1+0-0*	Wei	NA	NA	NA	RDC-chr3-95.8	65128	124000	0.005842151528517548	2.2584353449657955	FALSE	NA	NA	NA	NA	NA	NA
APH-Inter	3.338049909148275	16595	chr3	104957416	105086164	104981729	105066763	centromeric	0+1-1*	Wei	NA	NA	NA	RDC-chr3-105.0	85034	128748	1.1418364358700984e-4	3.1318872520589256	FALSE	NA	NA	NA	NA	NA	NA
APH-Inter	3.347683889725962	17577	chr3	96186648	96312648	96222855	96272855	telomeric	1+0-0*	DKFZ	NA	NA	NA	RDC-chr3-96.2	50000	126000	5.70358089784298e-4	2.695637967652344	FALSE	NA	NA	NA	NA	NA	NA
APH-Inter	3.3587043478067433	55504	chr15	103124614	103375250	103171441	103272251	telomeric	1+0-1*	DKFZ	NA	NA	NA	RDC-chr15-103.2	100810	250636	3.898603311261044e-5	2.440264100793182	FALSE	NA	NA	NA	NA	NA	NA
APH-Inter	3.3610505734429075	11274	chr4	132918096	133152936	133015343	133073619	centromeric	0+1-1*	Wei+DKFZ	NA	NA	NA	RDC-chr4-133.0	58276	234840	1.0491602157168976e-6	3.052545574687129	FALSE	NA	NA	NA	NA	NA	NA
APH-Inter	3.375252229515408	10927	chr2	29943311	30155311	29980898	30044420	telomeric	1+0-1*	Wei+DKFZ	NA	NA	NA	RDC-chr2-30.0	63522	212000	5.535921397350537e-7	2.873129952386994	FALSE	NA	NA	NA	NA	NA	NA
APH-Inter	3.383127188990981	14937	chr9	65731584	65867584	65773321	65839161	telomeric	1+0-1*	Wei	Zfp609	-	95980	RDC-chr9-65.8	65840	136000	2.0054226574572613e-4	3.0168589174800355	FALSE	NA	NA	NA	NA	NA	NA
APH-Inter	3.3886779994572573	28689	chrX	151801745	151935745	151824942	151893818	telomeric	1+0-0*	DKFZ	Huwe1	+	133672	RDC-chrX-151.9	68876	134000	8.045165142378059e-5	4.275331338178709	FALSE	NA	NA	NA	NA	NA	NA
