sample	experiment	run	celltype	organism	path	bait_chrom	bait_name	treatment	group	group_short	group_i	control	alleles	concentration	description
LC039	Auts2 isoforms (cDNA)	B400_016	ESC	mouse	LC039_B400_016_result.tlx	chr5	Chr5_101Mb	DMSO	APH 0.2 uM 96h	Auts2-exon3	1	T	2	0.2	ESC;NXP010; Bait before Auts2 exon 3 DMSO
LC040	Auts2 isoforms (cDNA)	B400_016	ESC	mouse	LC040_B400_016_result.tlx	chr5	Chr5_101Mb	APH 0.2 uM 96h	APH 0.2 uM 96h	Auts2-exon3	1	F	2	0.2	ESC;NXP010; Bait before Auts2 exon 3; Aphidicolin 0.2 uM 96h
JF022	Aphidicolin+Nocodazole	B400_011	NPC	mouse	JF022_B400_011_result.tlx	chr6	Chr6_70Mb	APH 48h + NOC 30h	APH 48h + NOC 30h		1	F	2		ESC-NPC;NXP010; aphidicolin 48hrs + Noco 30hrs
JF023	Aphidicolin+Nocodazole	B400_011	NPC	mouse	JF023_B400_011_result.tlx	chr6	Chr6_70Mb	APH 48h + resealse 30h	APH 48h + resealse 30h		1	F	2		ESC-NPC;NXP010; aphidicolin 48hrs + resealse 30hrs
JF024	Aphidicolin+Nocodazole	B400_011	NPC	mouse	JF024_B400_011_result.tlx	chr6	Chr6_70Mb	DMSO	DMSO		1	T	2		ESC-NPC;NXP010; DMSO 78 hrs
JF021	Aphidicolin+Nocodazole	B400_011	NPC	mouse	JF021_B400_011_result.tlx	chr6	Chr6_70Mb	NOC 30h	NOC 30h		1	F	2		ESC-NPC;NXP010; Nocodazole 30hrs
LC0022	Csmd1 promoter/enhancer	B400_005	NPC	mouse	LC0022_B400_005_result.tlx	chr8	Chr8_61Mb	APH 0.5 uM 96h	Allelic deletion (73/16)	fndr_73-16	1	F	1	0.5	ESC-NPC;Nxp010;73/16; Aphidicolin 0.5 uM 96h
LC0023	Csmd1 promoter/enhancer	B400_005	NPC	mouse	LC0023_B400_005_result.tlx	chr8	Chr8_61Mb	DMSO	Allelic deletion (73/16)	fndr_73-16	1	T	1	0	ESC-NPC;Nxp010;73/16; DMSO
PW061	Csmd1 promoter/enhancer	B400_008	NPC	mouse	PW061_B400_008_result.tlx	chr8	Chr8_61Mb	DMSO	Allelic deletion (73/16)	fndr_73-16	2	T	1	0	ESC-NPC;NXP010;73/16; DMSO
PW062	Csmd1 promoter/enhancer	B400_007	NPC	mouse	PW062_B400_007_result.tlx	chr8	Chr8_61Mb	APH 0.5 uM 96h	Allelic deletion (73/16)	fndr_73-16	2	F	1	0.5	ESC-NPC;NXP010;73/16; Aphidicolin 0.5 uM 96h
VI026	Csmd1 promoter/enhancer	B400_006	NPC	mouse	VI026_B400_006_result.tlx	chr8	Chr8_61Mb	DMSO	Allelic deletion (73/16)	fndr_73-16	4	T	1	0	ESC-NPC;NXP010;73/16; DMSO
VI027	Csmd1 promoter/enhancer	B400_006	NPC	mouse	VI027_B400_006_result.tlx	chr8	Chr8_61Mb	APH 0.5 uM 96h	Allelic deletion (73/16)	fndr_73-16	4	F	1	0.5	ESC-NPC;NXP010;73/16; Aphidicolin 0.5 uM 96h
VI041	Csmd1 promoter/enhancer	B400_007	NPC	mouse	VI041_B400_007_result.tlx	chr8	Chr8_61Mb	DMSO	Allelic deletion (73/16)	fndr_73-16	5	T	1	0	ESC-NPC;NXP010;73/16; DMSO
VI042	Csmd1 promoter/enhancer	B400_007	NPC	mouse	VI042_B400_007_result.tlx	chr8	Chr8_61Mb	APH 0.5 uM 96h	Allelic deletion (73/16)	fndr_73-16	5	F	1	0.5	ESC-NPC;NXP010;73/16; Aphidicolin 0.5 uM 96h
LC029	Csmd1 promoter/enhancer	B400_007	NPC	mouse	LC029_B400_007_result.tlx	chr8	Chr8_61Mb	DMSO	Allelic+promoter deletion (13/12)	fndr-prom_13-12	1	T	1	0	ESC-NPC;NXP010;13/12; DMSO
VI032	Csmd1 promoter/enhancer	B400_008	NPC	mouse	VI032_B400_008_result.tlx	chr8	Chr8_61Mb	APH 0.5 uM 96h	Allelic+promoter deletion (13/12)	fndr-prom_13-12	1	F	1	0.5	ESC-NPC;NXP010;13/12; Aphidicolin 0.5 uM 96h
LC028	Csmd1 promoter/enhancer	B400_007	NPC	mouse	LC028_B400_007_result.tlx	chr8	Chr8_61Mb	DMSO	Allelic+promoter deletion (37/8)	fndr-prom_37-8	1	T	1	0	ESC-NPC;NXP010;37/8; DMSO
VI031	Csmd1 promoter/enhancer	B400_006	NPC	mouse	VI031_B400_006_result.tlx	chr8	Chr8_61Mb	APH 0.5 uM 96h	Allelic+promoter deletion (37/8)	fndr-prom_37-8	1	F	1	0.5	ESC-NPC;NXP010;37/8; Aphidicolin 0.5 uM 96h
LC0020	Csmd1 promoter/enhancer	B400_005	NPC	mouse	LC0020_B400_005_result.tlx	chr8	Chr8_61Mb	APH 0.5 uM 96h	Perental cell (NXP010)	NXP010	1	F	2	0.5	ESC-NPC;Nxp010; Aphidicolin 0.5 uM 96h
LC0021	Csmd1 promoter/enhancer	B400_005	NPC	mouse	LC0021_B400_005_result.tlx	chr8	Chr8_61Mb	DMSO	Perental cell (NXP010)	NXP010	1	T	2	0	ESC-NPC;Nxp010; DMSO
LC030	Csmd1 promoter/enhancer	B400_007	NPC	mouse	LC030_B400_007_result.tlx	chr8	Chr8_61Mb	DMSO	Perental cell (NXP010)	NXP010	2	T	2	0	ESC-NPC;NXP010; DMSO
PW059	Csmd1 promoter/enhancer	B400_007	NPC	mouse	PW059_B400_007_result.tlx	chr8	Chr8_61Mb	DMSO	Perental cell (NXP010)	NXP010	3	T	2	0	ESC-NPC;NXP010; DMSO
PW060	Csmd1 promoter/enhancer	B400_007	NPC	mouse	PW060_B400_007_result.tlx	chr8	Chr8_61Mb	APH 0.5 uM 96h	Perental cell (NXP010)	NXP010	2	F	2	0.5	ESC-NPC;NXP010; Aphidicolin 0.5 uM 96h
VI024	Csmd1 promoter/enhancer	B400_006	NPC	mouse	VI024_B400_006_result.tlx	chr8	Chr8_61Mb	DMSO	Perental cell (NXP010)	NXP010	5	T	2	0	ESC-NPC;NXP010; DMSO
VI030	Csmd1 promoter/enhancer	B400_006	NPC	mouse	VI030_B400_006_result.tlx	chr8	Chr8_61Mb	APH 0.5 uM 96h	Perental cell (NXP010)	NXP010	4	F	2	0.5	ESC-NPC;NXP010; Aphidicolin 0.5 uM 96h
VI039	Csmd1 promoter/enhancer	B400_007	NPC	mouse	VI039_B400_007_result.tlx	chr8	Chr8_61Mb	DMSO	Perental cell (NXP010)	NXP010	6	T	2	0	ESC-NPC;NXP010; DMSO
LC0027	Ctnna2 promoter/enhancer	B400_005	NPC	mouse	LC0027_B400_005_result.tlx	chr6	Chr6_70Mb	DMSO	Allelic deletion (47/5)	fndr_47-5	1	T	1	0	ESC-NPC;Nxp010;47/5; DMSO
PW057	Ctnna2 promoter/enhancer	B400_007	NPC	mouse	PW057_B400_007_result.tlx	chr6	Chr6_70Mb	DMSO	Allelic deletion (47/5)	fndr_47-5	2	T	1	0	ESC-NPC;NXP010;47/5; DMSO
PW058	Ctnna2 promoter/enhancer	B400_007	NPC	mouse	PW058_B400_007_result.tlx	chr6	Chr6_70Mb	APH 0.5 uM 96h	Allelic deletion (47/5)	fndr_47-5	1	F	1	0.5	ESC-NPC;NXP010;47/5; Aphidicolin 0.5 uM 96h
VI012	Ctnna2 promoter/enhancer	B400_003	NPC	mouse	VI012_B400_003_result.tlx	chr6	Chr6_70Mb	DMSO	Allelic deletion (47/5)	fndr_47-5	3	T	1	0	ESC-NPC;NXP010;47/5; DMSO
VI013	Ctnna2 promoter/enhancer	B400_003	NPC	mouse	VI013_B400_003_result.tlx	chr6	Chr6_70Mb	APH 0.5 uM 96h	Allelic deletion (47/5)	fndr_47-5	2	F	1	0.5	ESC-NPC;NXP010;47/5; Aphidicolin 0.5 uM 96h
VI022	Ctnna2 promoter/enhancer	B400_006	NPC	mouse	VI022_B400_006_result.tlx	chr6	Chr6_70Mb	DMSO	Allelic deletion (47/5)	fndr_47-5	4	T	1	0	ESC-NPC;NXP010;47/5; DMSO
VI023	Ctnna2 promoter/enhancer	B400_006	NPC	mouse	VI023_B400_006_result.tlx	chr6	Chr6_70Mb	APH 0.5 uM 96h	Allelic deletion (47/5)	fndr_47-5	3	F	1	0.5	ESC-NPC;NXP010;47/5; Aphidicolin 0.5 uM 96h
VI029	Ctnna2 promoter/enhancer	B400_006	NPC	mouse	VI029_B400_006_result.tlx	chr6	Chr6_70Mb	APH 0.5 uM 96h	Allelic deletion (47/5)	fndr_47-5	4	F	1	0.5	ESC-NPC;NXP010;47/5; Aphidicolin 0.5 uM 96h
VI037	Ctnna2 promoter/enhancer	B400_007	NPC	mouse	VI037_B400_007_result.tlx	chr6	Chr6_70Mb	DMSO	Allelic deletion (47/5)	fndr_47-5	5	T	1	0	ESC-NPC;NXP010;47/5; DMSO
VI038	Ctnna2 promoter/enhancer	B400_007	NPC	mouse	VI038_B400_007_result.tlx	chr6	Chr6_70Mb	APH 0.5 uM 96h	Allelic deletion (47/5)	fndr_47-5	5	F	1	0.5	ESC-NPC;NXP010;47/5; Aphidicolin 0.5 uM 96h
VI043	Ctnna2 promoter/enhancer	B400_010	NPC	mouse	VI043_B400_010_result.tlx	chr6	Chr6_70Mb	DMSO	Allelic deletion (47/5)	fndr_47-5	6	T	1	0	ESC-NPC;NXP010;47/5; DMSO
VI044	Ctnna2 promoter/enhancer	B400_010	NPC	mouse	VI044_B400_010_result.tlx	chr6	Chr6_70Mb	APH 0.5 uM 96h	Allelic deletion (47/5)	fndr_47-5	6	F	1	0.5	ESC-NPC;NXP010;47/5; Aphidicolin 0.5 uM 96h
VI049	Ctnna2 promoter/enhancer	B400_011	NPC	mouse	VI049_B400_011_result.tlx	chr6	Chr6_70Mb	DMSO	Allelic deletion (47/5)	fndr_47-5	7	T	1	0	ESC-NPC;NXP010;47/5; DMSO
VI050	Ctnna2 promoter/enhancer	B400_011	NPC	mouse	VI050_B400_011_result.tlx	chr6	Chr6_70Mb	APH 0.5 uM 96h	Allelic deletion (47/5)	fndr_47-5	7	F	1	0.5	ESC-NPC;NXP010;47/5; Aphidicolin 0.5 uM 96h
VI055	Ctnna2 promoter/enhancer	B400_012	NPC	mouse	VI055_B400_012_result.tlx	chr6	Chr6_70Mb	DMSO	Allelic deletion (47/5)	fndr_47-5	8	T	1	0	ESC-NPC;NXP010;47/5; DMSO
VI056	Ctnna2 promoter/enhancer	B400_012	NPC	mouse	VI056_B400_012_result.tlx	chr6	Chr6_70Mb	APH 0.5 uM 96h	Allelic deletion (47/5)	fndr_47-5	8	F	1	0.5	ESC-NPC;NXP010;47/5; Aphidicolin 0.5 uM 96h
VI014	Ctnna2 promoter/enhancer	B400_003	NPC	mouse	VI014_B400_003_result.tlx	chr6	Chr6_70Mb	DMSO	Allelic deletion (71/3)	fndr_71-3	1	T	1	0	ESC-NPC;NXP010;71/3; DMSO
VI015	Ctnna2 promoter/enhancer	B400_003	NPC	mouse	VI015_B400_003_result.tlx	chr6	Chr6_70Mb	APH 0.5 uM 96h	Allelic deletion (71/3)	fndr_71-3	1	F	1	0.5	ESC-NPC;NXP010;71/3; Aphidicolin 0.5 uM 96h
VI061	Ctnna2 promoter/enhancer	B400_015	NPC	mouse	VI061_B400_015_result.tlx	chr6	Chr6_70Mb	DMSO	Allelic deletion (71/3)	fndr_71-3	2	T	1	0	ESC-NPC;NXP010;71/3; DMSO
VI062	Ctnna2 promoter/enhancer	B400_015	NPC	mouse	VI062_B400_015_result.tlx	chr6	Chr6_70Mb	APH 0.5 uM 96h	Allelic deletion (71/3)	fndr_71-3	2	F	1	0.5	ESC-NPC;NXP010;71/3; Aphidicolin 0.5 uM 96h
LC0025	Ctnna2 promoter/enhancer	B400_005	NPC	mouse	LC0025_B400_005_result.tlx	chr6	Chr6_70Mb	DMSO	Allelic+promoter deletion (18/4)	fndr-prom_18-4	1	T	1	0	ESC-NPC;Nxp010;18/4; DMSO
VI034	Ctnna2 promoter/enhancer	B400_006	NPC	mouse	VI034_B400_006_result.tlx	chr6	Chr6_70Mb	APH 0.5 uM 96h	Allelic+promoter deletion (18/4)	fndr-prom_18-4	1	F	1	0.5	ESC-NPC;NXP010;18/4; Aphidicolin 0.5 uM 96h
VI057	Ctnna2 promoter/enhancer	B400_012	NPC	mouse	VI057_B400_012_result.tlx	chr6	Chr6_70Mb	DMSO	Allelic+promoter deletion (18/4)	fndr-prom_18-4	2	T	1	0	ESC-NPC;NXP010;18/4; DMSO
VI058	Ctnna2 promoter/enhancer	B400_012	NPC	mouse	VI058_B400_012_result.tlx	chr6	Chr6_70Mb	APH 0.5 uM 96h	Allelic+promoter deletion (18/4)	fndr-prom_18-4	2	F	1	0.5	ESC-NPC;NXP010;18/4; Aphidicolin 0.5 uM 96h
VI065	Ctnna2 promoter/enhancer	B400_015	NPC	mouse	VI065_B400_015_result.tlx	chr6	Chr6_70Mb	DMSO	Allelic+promoter deletion (18/4)	fndr-prom_18-4	3	T	1	0	ESC-NPC;NXP010;18/4; DMSO
VI066	Ctnna2 promoter/enhancer	B400_015	NPC	mouse	VI066_B400_015_result.tlx	chr6	Chr6_70Mb	APH 0.5 uM 96h	Allelic+promoter deletion (18/4)	fndr-prom_18-4	3	F	1	0.5	ESC-NPC;NXP010;18/4; Aphidicolin 0.5 uM 96h
LC0026	Ctnna2 promoter/enhancer	B400_005	NPC	mouse	LC0026_B400_005_result.tlx	chr6	Chr6_70Mb	DMSO	Allelic+promoter deletion (38/3)	fndr-prom_38-3	1	T	1	0	ESC-NPC;Nxp010;38/3; DMSO
VI033	Ctnna2 promoter/enhancer	B400_006	NPC	mouse	VI033_B400_006_result.tlx	chr6	Chr6_70Mb	APH 0.5 uM 96h	Allelic+promoter deletion (38/3)	fndr-prom_38-3	1	F	1	0.5	ESC-NPC;NXP010;38/3; Aphidicolin 0.5 uM 96h
VI045	Ctnna2 promoter/enhancer	B400_010	NPC	mouse	VI045_B400_010_result.tlx	chr6	Chr6_70Mb	DMSO	Allelic+promoter deletion (38/3)	fndr-prom_38-3	2	T	1	0	ESC-NPC;NXP010;38/3; DMSO
VI046	Ctnna2 promoter/enhancer	B400_010	NPC	mouse	VI046_B400_010_result.tlx	chr6	Chr6_70Mb	APH 0.5 uM 96h	Allelic+promoter deletion (38/3)	fndr-prom_38-3	2	F	1	0.5	ESC-NPC;NXP010;38/3; Aphidicolin 0.5 uM 96h
VI051	Ctnna2 promoter/enhancer	B400_011	NPC	mouse	VI051_B400_011_result.tlx	chr6	Chr6_70Mb	DMSO	Allelic+promoter deletion (38/3)	fndr-prom_38-3	3	T	1	0	ESC-NPC;NXP010;38/3; DMSO
VI052	Ctnna2 promoter/enhancer	B400_011	NPC	mouse	VI052_B400_011_result.tlx	chr6	Chr6_70Mb	APH 0.5 uM 96h	Allelic+promoter deletion (38/3)	fndr-prom_38-3	3	F	1	0.5	ESC-NPC;NXP010;38/3; Aphidicolin 0.5 uM 96h
VI063	Ctnna2 promoter/enhancer	B400_015	NPC	mouse	VI063_B400_015_result.tlx	chr6	Chr6_70Mb	DMSO	Allelic+promoter deletion (38/3)	fndr-prom_38-3	4	T	1	0	ESC-NPC;NXP010;38/3; DMSO
VI064	Ctnna2 promoter/enhancer	B400_015	NPC	mouse	VI064_B400_015_result.tlx	chr6	Chr6_70Mb	APH 0.5 uM 96h	Allelic+promoter deletion (38/3)	fndr-prom_38-3	4	F	1	0.5	ESC-NPC;NXP010;38/3; Aphidicolin 0.5 uM 96h
LC0024	Ctnna2 promoter/enhancer	B400_005	NPC	mouse	LC0024_B400_005_result.tlx	chr6	Chr6_70Mb	DMSO	Perental cell (NXP010)	NXP010	1	T	2	0	ESC-NPC;Nxp010; DMSO
PW055	Ctnna2 promoter/enhancer	B400_007	NPC	mouse	PW055_B400_007_result.tlx	chr6	Chr6_70Mb	DMSO	Perental cell (NXP010)	NXP010	2	T	2	0	ESC-NPC;NXP010; DMSO
PW056	Ctnna2 promoter/enhancer	B400_008	NPC	mouse	PW056_B400_008_result.tlx	chr6	Chr6_70Mb	APH 0.5 uM 96h	Perental cell (NXP010)	NXP010	1	F	2	0.5	ESC-NPC;NXP010; Aphidicolin 0.5 uM 96h
VI011	Ctnna2 promoter/enhancer	B400_003	NPC	mouse	VI011_B400_003_result.tlx	chr6	Chr6_70Mb	APH 0.5 uM 96h	Perental cell (NXP010)	NXP010	2	F	2	0.5	ESC-NPC;NXP010; Aphidicolin 0.5 uM 96h
VI020	Ctnna2 promoter/enhancer	B400_006	NPC	mouse	VI020_B400_006_result.tlx	chr6	Chr6_70Mb	DMSO	Perental cell (NXP010)	NXP010	3	T	2	0	ESC-NPC;NXP010; DMSO
VI021	Ctnna2 promoter/enhancer	B400_006	NPC	mouse	VI021_B400_006_result.tlx	chr6	Chr6_70Mb	APH 0.5 uM 96h	Perental cell (NXP010)	NXP010	3	F	2	0.5	ESC-NPC;NXP010; Aphidicolin 0.5 uM 96h
VI028	Ctnna2 promoter/enhancer	B400_006	NPC	mouse	VI028_B400_006_result.tlx	chr6	Chr6_70Mb	APH 0.5 uM 96h	Perental cell (NXP010)	NXP010	4	F	2	0.5	ESC-NPC;NXP010; Aphidicolin 0.5 uM 96h
VI035	Ctnna2 promoter/enhancer	B400_007	NPC	mouse	VI035_B400_007_result.tlx	chr6	Chr6_70Mb	DMSO	Perental cell (NXP010)	NXP010	4	T	2	0	ESC-NPC;NXP010; DMSO
VI036	Ctnna2 promoter/enhancer	B400_009	NPC	mouse	VI036_B400_009_result.tlx	chr6	Chr6_70Mb	APH 0.5 uM 96h	Perental cell (NXP010)	NXP010	5	F	2	0.5	ESC-NPC;NXP010; Aphidicolin 0.5 uM 96h
VI047	Ctnna2 promoter/enhancer	B400_011	NPC	mouse	VI047_B400_011_result.tlx	chr6	Chr6_70Mb	DMSO	Perental cell (NXP010)	NXP010	5	T	2	0	ESC-NPC;NXP010; DMSO
VI048	Ctnna2 promoter/enhancer	B400_011	NPC	mouse	VI048_B400_011_result.tlx	chr6	Chr6_70Mb	APH 0.5 uM 96h	Perental cell (NXP010)	NXP010	6	F	2	0.5	ESC-NPC;NXP010; Aphidicolin 0.5 uM 96h
VI053	Ctnna2 promoter/enhancer	B400_012	NPC	mouse	VI053_B400_012_result.tlx	chr6	Chr6_70Mb	DMSO	Perental cell (NXP010)	NXP010	6	T	2	0	ESC-NPC;NXP010; DMSO
VI054	Ctnna2 promoter/enhancer	B400_012	NPC	mouse	VI054_B400_012_result.tlx	chr6	Chr6_70Mb	APH 0.5 uM 96h	Perental cell (NXP010)	NXP010	7	F	2	0.5	ESC-NPC;NXP010; Aphidicolin 0.5 uM 96h
VI059	Ctnna2 promoter/enhancer	B400_015	NPC	mouse	VI059_B400_015_result.tlx	chr6	Chr6_70Mb	DMSO	Perental cell (NXP010)	NXP010	7	T	2	0	ESC-NPC;NXP010; DMSO
VI060	Ctnna2 promoter/enhancer	B400_015	NPC	mouse	VI060_B400_015_result.tlx	chr6	Chr6_70Mb	APH 0.5 uM 96h	Perental cell (NXP010)	NXP010	8	F	2	0.5	ESC-NPC;NXP010; Aphidicolin 0.5 uM 96h
LC031	ESC cell aphidicolin	B400_014	NPC	mouse	LC031_B400_014_result.tlx	chr5	Chr5_101Mb	DMSO	APH		1	T	2	0	ESC;Nxp010; DMSO
LC032	ESC cell aphidicolin	B400_014	NPC	mouse	LC032_B400_014_result.tlx	chr5	Chr5_101Mb	APH 0.2 uM 96h	APH		1	F	2	0.2	ESC;Nxp010; Aphidicolin 0.2 uM 96h
LC033	ESC cell aphidicolin	B400_014	NPC	mouse	LC033_B400_014_result.tlx	chr5	Chr5_101Mb	DMSO	APH		2	T	2	0	ESC;Nxp010; DMSO
LC034	ESC cell aphidicolin	B400_014	NPC	mouse	LC034_B400_014_result.tlx	chr5	Chr5_101Mb	APH 0.2 uM 96h	APH		2	F	2	0.2	ESC;Nxp010; Aphidicolin 0.2 uM 96h
LC035	ESC cell aphidicolin	B400_014	NPC	mouse	LC035_B400_014_result.tlx	chr5	Chr5_101Mb	DMSO	APH		3	T	2	0	ESC;Nxp010; DMSO
LC036	ESC cell aphidicolin	B400_014	NPC	mouse	LC036_B400_014_result.tlx	chr5	Chr5_101Mb	APH 0.2 uM 96h	APH		3	F	2	0.2	ESC;Nxp010; Aphidicolin 0.2 uM 96h
JF017	Hydroxyurea	B400_006	NPC	mouse	JF017_B400_006_result.tlx	chr12	Chr12_13Mb	DMSO	HU-chr12		1	T	2	0	ESC-NPC;NXP010; DMSO 32 hr
JF018	Hydroxyurea	B400_006	NPC	mouse	JF018_B400_006_result.tlx	chr12	Chr12_13Mb	HU 2 uM 6h	HU-chr12		1	F	2	2	ESC-NPC;NXP010; Hydroxyurea 2 uM 6hr
JF019	Hydroxyurea	B400_006	NPC	mouse	JF019_B400_006_result.tlx	chr12	Chr12_13Mb	DMSO	HU-chr12		2	T	2	0	ESC-NPC;NXP010; DMSO 32 hr
JF020	Hydroxyurea	B400_006	NPC	mouse	JF020_B400_006_result.tlx	chr12	Chr12_13Mb	HU 2 uM 6h	HU-chr12		2	F	2	2	ESC-NPC;NXP010; Hydroxyurea 2 uM 6hr
PW015	Hydroxyurea	B400_002	NPC	mouse	PW015_B400_002_result.tlx	chr15	Chr15_86Mb	DMSO	HU-chr15		1	T	2	0	ESC-NPC;NXP010; DMSO
PW016	Hydroxyurea	B400_002	NPC	mouse	PW016_B400_002_result.tlx	chr15	Chr15_86Mb	HU 2 uM 6h	HU-chr15		1	F	2	2	ESC-NPC;NXP010; Hydroxyurea 2 uM 6hr
PW017	Hydroxyurea	B400_002	NPC	mouse	PW017_B400_002_result.tlx	chr15	Chr15_86Mb	DMSO	HU-chr15		2	T	2	0	ESC-NPC;NXP010; DMSO
PW018	Hydroxyurea	B400_002	NPC	mouse	PW018_B400_002_result.tlx	chr15	Chr15_86Mb	HU 2 uM 24h	HU-chr15		2	F	2	2	ESC-NPC;NXP010; Hydroxyurea 2 uM 24hr
PW019	Hydroxyurea	B400_002	NPC	mouse	PW019_B400_002_result.tlx	chr15	Chr15_86Mb	DMSO	HU-chr15		3	T	2	0	ESC-NPC;NXP010; DMSO
PW020	Hydroxyurea	B400_002	NPC	mouse	PW020_B400_002_result.tlx	chr15	Chr15_86Mb	APH 0.5 uM 96h	HU-chr15		3	F	2	0.5	ESC-NPC;NXP010; Aphidicolin 0.5 uM 96h
JF013	Hydroxyurea	B400_006	NPC	mouse	JF013_B400_006_result.tlx	chr16	Chr15_86Mb	DMSO	HU-chr16		1	T	2	0	ESC-NPC;NXP010; DMSO 32 hr
JF014	Hydroxyurea	B400_006	NPC	mouse	JF014_B400_006_result.tlx	chr16	Chr15_86Mb	HU 2 uM 6h	HU-chr16		1	F	2	2	ESC-NPC;NXP010; Hydroxyurea 2 uM 6hr
JF015	Hydroxyurea	B400_006	NPC	mouse	JF015_B400_006_result.tlx	chr16	Chr15_86Mb	DMSO	HU-chr16		2	T	2	0	ESC-NPC;NXP010; DMSO 32 hr
JF016	Hydroxyurea	B400_006	NPC	mouse	JF016_B400_006_result.tlx	chr16	Chr15_86Mb	HU 2 uM 6h	HU-chr16		2	F	2	2	ESC-NPC;NXP010; Hydroxyurea 2 uM 6hr
JF025	Hydroxyurea	B400_013	NPC	mouse	JF025_B400_013_result.tlx	chr6	Chr6_70Mb	HU 2 uM 6h	HU-chr6		1	F	2	2	ESC-NPC;NXP010; Hydroxyurea 2 uM 6hr
JF026	Hydroxyurea	B400_013	NPC	mouse	JF026_B400_013_result.tlx	chr6	Chr6_70Mb	HU 2 uM 6h	HU-chr6		2	F	2	2	ESC-NPC;NXP010; Hydroxyurea 2 uM 6hr
JF027	Hydroxyurea	B400_013	NPC	mouse	JF027_B400_013_result.tlx	chr6	Chr6_70Mb	DMSO	HU-chr6		1	T	2	0	ESC-NPC;NXP010; DMSO
JF028	Hydroxyurea	B400_013	NPC	mouse	JF028_B400_013_result.tlx	chr6	Chr6_70Mb	DMSO	HU-chr6		2	T	2	0	ESC-NPC;NXP010; DMSO
