collision_chrom	collision_iz_left	collision_iz_right	collision_tz
chr1	75525000	77325000	76500000
chr1	77325000	78625000	77900000
chr1	78625000	79775000	79150000
chr1	79775000	80275000	80100000
chr1	80275000	82825000	81100000
chr1	82825000	84875000	83400000
chr1	84875000	86525000	85350000
chr1	86525000	87275000	86925000
chr1	87275000	87725000	87500000
chr1	87725000	88475000	88175000
chr1	88475000	89075000	88750000
chr1	89075000	89425000	89325000
chr1	89425000	89925000	89600000
chr1	89925000	90525000	90250000
chr1	90525000	91025000	90700000
chr1	91025000	91325000	91125000
chr1	91325000	91925000	91700000
chr1	91925000	92175000	92025000
chr1	92175000	92925000	92650000
chr1	92925000	93375000	93075000
chr1	93375000	93675000	93475000
chr1	93675000	96925000	94900000
chr1	96925000	97775000	97250000
chr1	97775000	101775000	99150000
chr1	101775000	103325000	103000000
chr1	103325000	104175000	103625000
chr1	104175000	105825000	104300000
chr1	105825000	106125000	105925000
chr1	106125000	106775000	106650000
chr1	106775000	108625000	107400000
chr1	108625000	109325000	108850000
chr1	109325000	110975000	110100000
chr1	110975000	112425000	111500000
chr1	112425000	113975000	113325000
chr1	113975000	115625000	114550000
chr1	115625000	118375000	116550000
chr1	118375000	118625000	118475000
chr1	118625000	119075000	118900000
chr1	119075000	119525000	119275000
chr1	119525000	121525000	120900000
chr1	121525000	125525000	122250000
chr1	125525000	128025000	126400000
chr1	128025000	128225000	128125000
chr1	128225000	130325000	129550000
chr1	130325000	131125000	130500000
chr1	131125000	131525000	131350000
chr1	131525000	131925000	131650000
chr1	131925000	133075000	132750000
chr1	133075000	133675000	133350000
chr1	133675000	134100000	134000000
chr1	134100000	134525000	134200000
chr1	134525000	135225000	134875000
chr1	135225000	135675000	135350000
chr1	135675000	136175000	136050000
chr1	136175000	136675000	136325000
chr1	136675000	138925000	137900000
chr1	138925000	140225000	139900000
chr1	140225000	141825000	141350000
chr1	141825000	143725000	142400000
chr1	143725000	145475000	144900000
chr1	145475000	150475000	145675000
chr1	150475000	151475000	150800000
chr1	151475000	152125000	152025000
chr1	152125000	153075000	152375000
chr1	153075000	153475000	153275000
chr1	153475000	154075000	153925000
chr1	154075000	155075000	154500000
chr1	155075000	156075000	155400000
chr1	156075000	156675000	156375000
chr1	156675000	156975000	156850000
chr1	156975000	157425000	157200000
chr1	157425000	160225000	159750000
chr1	160225000	161025000	160500000
chr1	161025000	161875000	161575000
chr1	161875000	163975000	162200000
chr1	163975000	164475000	164150000
chr1	164475000	166125000	164950000
chr1	166125000	167325000	166700000
chr1	167325000	169525000	169000000
chr1	169525000	170925000	169675000
chr1	170925000	171325000	171050000
chr1	171325000	172125000	171650000
chr1	172125000	174475000	173850000
chr1	174475000	176625000	176150000
chr1	176625000	177775000	177450000
chr1	177775000	178325000	177950000
chr1	178325000	179525000	178800000
chr1	179525000	180875000	180400000
chr1	180875000	182025000	181550000
chr1	182025000	183025000	182800000
chr1	183025000	183275000	183125000
chr1	183275000	184025000	183800000
chr1	184025000	184875000	184300000
chr1	184875000	185325000	185075000
chr1	185325000	186425000	186000000
chr1	186425000	186725000	186625000
chr1	186725000	187225000	187000000
chr1	187225000	189025000	188200000
chr1	189025000	189725000	189350000
chr1	189725000	190975000	190400000
chr1	190975000	191625000	191225000
chr1	191625000	191925000	191725000
chr1	191925000	192825000	192375000
chr1	192825000	193175000	192950000
chr1	193175000	195450000	194200000
chr1	195450000	196250000	196150000
chr10	800001	2025000	1925000
chr10	2025000	2375000	2225000
chr10	2375000	4275000	3150000
chr10	4275000	5825000	5625000
chr10	5825000	7675000	6625000
chr10	7675000	8875000	8350000
chr10	8875000	9875000	9500000
chr10	9875000	11225000	10300000
chr10	11225000	12425000	11950000
chr10	12425000	12725000	12550000
chr10	12725000	13075000	12825000
chr10	13075000	13525000	13350000
chr10	13525000	14575000	13925000
chr10	14575000	15775000	15500000
chr10	15775000	17575000	16500000
chr10	17575000	18425000	17700000
chr10	18425000	20175000	19050000
chr10	20175000	21125000	20700000
chr10	21125000	21975000	21550000
chr10	21975000	23775000	23200000
chr10	23775000	25325000	24400000
chr10	25325000	26925000	26300000
chr10	26925000	28025000	27400000
chr10	28025000	28625000	28375000
chr10	28625000	29325000	29125000
chr10	29325000	30675000	29650000
chr10	30675000	31425000	31075000
chr10	31425000	32825000	32200000
chr10	32825000	34225000	33200000
chr10	34225000	37225000	35800000
chr10	37225000	38200000	38100000
chr10	38200000	39125000	38300000
chr10	39125000	39625000	39300000
chr10	39625000	40325000	40050000
chr10	40325000	41475000	40750000
chr10	41475000	41775000	41625000
chr10	41775000	42175000	41900000
chr10	42175000	42475000	42350000
chr10	42475000	43475000	42900000
chr10	43475000	44375000	43950000
chr10	44375000	45075000	44800000
chr10	45075000	46775000	46300000
chr10	46775000	47525000	47150000
chr10	47525000	47725000	47625000
chr10	47725000	49925000	49550000
chr10	49925000	50825000	50200000
chr10	50825000	51425000	51250000
chr10	51425000	52325000	51550000
chr10	52325000	54475000	54350000
chr10	54475000	56425000	55100000
chr10	56425000	58375000	56950000
chr10	58375000	59425000	58950000
chr10	59425000	59925000	59525000
chr10	59925000	60775000	60550000
chr10	60775000	61425000	60900000
chr10	61425000	61675000	61550000
chr10	61675000	62925000	62100000
chr10	62925000	63325000	63200000
chr10	63325000	64725000	64200000
chr10	64725000	67025000	65950000
chr10	67025000	68225000	67650000
chr10	68225000	70275000	68800000
chr10	70275000	71325000	70700000
chr10	71325000	73825000	73550000
chr10	73825000	75175000	74050000
chr10	75175000	75925000	75350000
chr10	75925000	76425000	76200000
chr10	76425000	77175000	76750000
chr10	77175000	77575000	77425000
chr10	77575000	78375000	77850000
chr10	78375000	79725000	78950000
chr10	79725000	80125000	79875000
chr10	80125000	80675000	80450000
chr10	80675000	81125000	80825000
chr10	81125000	81375000	81250000
chr10	81375000	82825000	82400000
chr10	82825000	84575000	83150000
chr10	84575000	85075000	84700000
chr10	85075000	85525000	85250000
chr10	85525000	85925000	85800000
chr10	85925000	86775000	86300000
chr10	86775000	88725000	87400000
chr10	88725000	89725000	89200000
chr10	89725000	91125000	90350000
chr10	91125000	93325000	92100000
chr10	93325000	95425000	94500000
chr10	95425000	95875000	95750000
chr10	95875000	96675000	96400000
chr10	96675000	99125000	98100000
chr10	99125000	100075000	99850000
chr10	100075000	100525000	100300000
chr10	100525000	103375000	102750000
chr10	103375000	104675000	104250000
chr10	104675000	105725000	104900000
chr10	105725000	108375000	107100000
chr10	108375000	109525000	109250000
chr10	109525000	109825000	109700000
chr10	109825000	110875000	110050000
chr10	110875000	111425000	111025000
chr10	111425000	112925000	112600000
chr10	112925000	113575000	113250000
chr10	113575000	114175000	114050000
chr10	114175000	115325000	114350000
chr10	115325000	116575000	116000000
chr10	116575000	117075000	116750000
chr10	117075000	117375000	117250000
chr10	117375000	117775000	117550000
chr10	117775000	119175000	118700000
chr10	119175000	120525000	119700000
chr10	120525000	120975000	120750000
chr10	120975000	121675000	121250000
chr10	121675000	123025000	122350000
chr10	123025000	125975000	125325000
chr10	125975000	126975000	126350000
chr10	126975000	127225000	127075000
chr10	127225000	130650000	127850000
chr10	130650000	131450000	131350000
chr11	800001	3375000	3050000
chr11	3375000	4225000	3750000
chr11	4225000	4725000	4325000
chr11	4725000	5475000	5250000
chr11	5475000	5775000	5650000
chr11	5775000	6425000	5950000
chr11	6425000	8675000	8000000
chr11	8675000	12475000	10700000
chr11	12475000	14075000	13700000
chr11	14075000	15375000	15275000
chr11	15375000	16575000	15650000
chr11	16575000	17925000	17600000
chr11	17925000	18975000	18575000
chr11	18975000	20125000	19150000
chr11	20125000	20525000	20350000
chr11	20525000	21175000	21050000
chr11	21175000	22575000	22150000
chr11	22575000	23025000	22700000
chr11	23025000	23575000	23350000
chr11	23575000	26275000	25100000
chr11	26275000	27225000	27025000
chr11	27225000	28075000	27500000
chr11	28075000	29625000	28450000
chr11	29625000	30075000	29950000
chr11	30075000	30725000	30350000
chr11	30725000	32625000	32150000
chr11	32625000	33175000	32950000
chr11	33175000	33525000	33275000
chr11	33525000	34825000	34400000
chr11	34825000	35125000	34950000
chr11	35125000	35975000	35250000
chr11	35975000	42125000	41450000
chr11	42125000	43675000	42700000
chr11	43675000	44475000	44100000
chr11	44475000	46075000	45200000
chr11	46075000	47475000	47250000
chr11	47475000	48825000	47900000
chr11	48825000	49725000	49300000
chr11	49725000	50225000	49900000
chr11	50225000	50875000	50725000
chr11	50875000	51675000	51050000
chr11	51675000	53325000	52075000
chr11	53325000	53775000	53625000
chr11	53775000	54975000	54150000
chr11	54975000	58025000	56700000
chr11	58025000	59425000	58575000
chr11	59425000	59825000	59550000
chr11	59825000	60375000	59950000
chr11	60375000	60875000	60600000
chr11	60875000	61575000	61300000
chr11	61575000	61775000	61675000
chr11	61775000	62525000	62100000
chr11	62525000	63925000	63600000
chr11	63925000	65175000	64600000
chr11	65175000	65775000	65500000
chr11	65775000	66975000	66250000
chr11	66975000	68325000	67600000
chr11	68325000	69025000	68600000
chr11	69025000	69675000	69300000
chr11	69675000	70675000	70250000
chr11	70675000	72375000	71400000
chr11	72375000	72575000	72475000
chr11	72575000	74875000	73800000
chr11	74875000	75225000	75050000
chr11	75225000	75625000	75400000
chr11	75625000	76325000	76000000
chr11	76325000	76625000	76525000
chr11	76625000	77725000	77225000
chr11	77725000	78225000	77850000
chr11	78225000	79625000	78900000
chr11	79625000	80025000	79800000
chr11	80025000	81625000	81200000
chr11	81625000	82825000	82000000
chr11	82825000	83425000	83150000
chr11	83425000	84075000	83700000
chr11	84075000	84875000	84700000
chr11	84875000	85275000	85050000
chr11	85275000	85825000	85650000
chr11	85825000	86575000	85950000
chr11	86575000	86975000	86800000
chr11	86975000	87475000	87250000
chr11	87475000	88025000	87750000
chr11	88025000	88625000	88400000
chr11	88625000	88975000	88725000
chr11	88975000	90225000	89800000
chr11	90225000	94125000	90975000
chr11	94125000	94625000	94450000
chr11	94625000	94975000	94750000
chr11	94975000	95325000	95125000
chr11	95325000	95575000	95425000
chr11	95575000	96025000	95775000
chr11	96025000	97275000	96500000
chr11	97275000	97725000	97500000
chr11	97725000	98925000	97950000
chr11	98925000	101475000	99800000
chr11	101475000	102325000	101900000
chr11	102325000	102825000	102650000
chr11	102825000	103125000	102950000
chr11	103125000	103925000	103650000
chr11	103925000	104275000	104050000
chr11	104275000	105175000	104850000
chr11	105175000	106175000	105550000
chr11	106175000	106725000	106350000
chr11	106725000	107125000	106850000
chr11	107125000	107475000	107300000
chr11	107475000	108975000	108600000
chr11	108975000	109375000	109075000
chr11	109375000	110375000	110000000
chr11	110375000	111525000	111325000
chr11	111525000	113225000	111750000
chr11	113225000	113625000	113350000
chr11	113625000	114625000	114100000
chr11	114625000	115625000	115000000
chr11	115625000	116025000	115850000
chr11	116025000	116525000	116350000
chr11	116525000	116875000	116750000
chr11	116875000	117125000	116975000
chr11	117125000	117925000	117450000
chr11	117925000	119375000	118700000
chr11	119375000	120625000	119700000
chr11	120625000	121275000	121100000
chr11	121275000	122050000	121650000
chr11	122050000	122350000	122250000
chr12	300001	1425000	975000
chr12	1425000	2375000	1925000
chr12	2375000	4325000	3975000
chr12	4325000	4875000	4575000
chr12	4875000	6625000	6200000
chr12	6625000	7525000	7150000
chr12	7525000	8925000	7625000
chr12	8925000	11225000	10025000
chr12	11225000	12225000	11750000
chr12	12225000	12825000	12450000
chr12	12825000	15425000	15300000
chr12	15425000	16875000	15650000
chr12	16875000	17475000	17125000
chr12	17475000	18175000	18050000
chr12	18175000	18525000	18400000
chr12	18525000	19525000	18850000
chr12	19525000	19925000	19700000
chr12	19925000	20225000	20025000
chr12	20225000	20525000	20350000
chr12	20525000	21375000	20800000
chr12	21375000	22625000	22375000
chr12	22625000	22975000	22750000
chr12	22975000	23275000	23150000
chr12	23275000	24675000	23475000
chr12	24675000	26375000	25800000
chr12	26375000	27075000	26800000
chr12	27075000	28675000	27800000
chr12	28675000	30025000	29600000
chr12	30025000	31775000	30525000
chr12	31775000	32925000	32450000
chr12	32925000	33425000	33050000
chr12	33425000	35075000	34400000
chr12	35075000	36075000	35275000
chr12	36075000	37125000	36950000
chr12	37125000	38725000	37500000
chr12	38725000	40275000	39300000
chr12	40275000	40975000	40650000
chr12	40975000	41675000	41350000
chr12	41675000	43075000	42600000
chr12	43075000	44275000	43700000
chr12	44275000	45075000	44850000
chr12	45075000	45625000	45250000
chr12	45625000	46775000	46300000
chr12	46775000	51725000	50000000
chr12	51725000	52575000	52300000
chr12	52575000	53475000	53350000
chr12	53475000	54225000	53650000
chr12	54225000	54775000	54375000
chr12	54775000	55275000	55000000
chr12	55275000	55825000	55725000
chr12	55825000	56325000	56175000
chr12	56325000	57225000	56800000
chr12	57225000	57475000	57350000
chr12	57475000	59075000	58050000
chr12	59075000	63025000	62100000
chr12	63025000	64025000	63650000
chr12	64025000	65075000	64350000
chr12	65075000	66175000	65900000
chr12	66175000	68175000	67150000
chr12	68175000	69175000	68300000
chr12	69175000	69675000	69500000
chr12	69675000	71075000	70400000
chr12	71075000	72025000	71600000
chr12	72025000	72725000	72350000
chr12	72725000	73075000	72900000
chr12	73075000	73925000	73700000
chr12	73925000	75625000	74750000
chr12	75625000	76375000	75950000
chr12	76375000	76925000	76650000
chr12	76925000	77525000	77425000
chr12	77525000	78225000	77800000
chr12	78225000	79025000	78350000
chr12	79025000	79775000	79550000
chr12	79775000	80275000	79900000
chr12	80275000	80625000	80450000
chr12	80625000	80975000	80850000
chr12	80975000	81775000	81300000
chr12	81775000	82175000	82000000
chr12	82175000	82425000	82325000
chr12	82425000	83625000	82900000
chr12	83625000	84325000	83950000
chr12	84325000	85025000	84750000
chr12	85025000	85325000	85175000
chr12	85325000	85775000	85575000
chr12	85775000	86875000	86075000
chr12	86875000	87375000	87075000
chr12	87375000	89425000	89325000
chr12	89425000	90975000	90000000
chr12	90975000	91625000	91125000
chr12	91625000	95725000	92850000
chr12	95725000	98725000	97550000
chr12	98725000	99225000	99100000
chr12	99225000	99425000	99325000
chr12	99425000	100175000	99750000
chr12	100175000	100525000	100350000
chr12	100525000	101025000	100750000
chr12	101025000	101475000	101350000
chr12	101475000	101925000	101575000
chr12	101925000	102725000	102150000
chr12	102725000	103375000	103175000
chr12	103375000	104775000	103825000
chr12	104775000	105075000	104875000
chr12	105075000	105725000	105375000
chr12	105725000	107275000	106900000
chr12	107275000	108275000	107450000
chr12	108275000	108775000	108450000
chr12	108775000	109525000	109200000
chr12	109525000	110675000	110075000
chr12	110675000	111675000	111300000
chr12	111675000	112575000	112300000
chr12	112575000	113075000	112750000
chr12	113075000	114125000	113700000
chr12	114125000	114925000	114775000
chr12	114925000	115425000	115150000
chr12	115425000	116375000	115650000
chr12	116375000	117575000	116900000
chr12	117575000	118675000	118200000
chr12	118675000	119625000	119250000
chr12	119625000	120100000	119750000
chr12	120100000	121400000	121300000
chr13	NA	575000	475000
chr13	575000	1025000	750000
chr13	1025000	2275000	1825000
chr13	2275000	3775000	3050000
chr13	3775000	4775000	4500000
chr13	4775000	5875000	5150000
chr13	5875000	6675000	6200000
chr13	6675000	9025000	7800000
chr13	9025000	9275000	9125000
chr13	9275000	9725000	9550000
chr13	9725000	10975000	10500000
chr13	10975000	12275000	11250000
chr13	12275000	13475000	13000000
chr13	13475000	14075000	13650000
chr13	14075000	15425000	15050000
chr13	15425000	16725000	16300000
chr13	16725000	17875000	17150000
chr13	17875000	18925000	18300000
chr13	18925000	19425000	19150000
chr13	19425000	20025000	19750000
chr13	20025000	21225000	20450000
chr13	21225000	22775000	22475000
chr13	22775000	23475000	22950000
chr13	23475000	24825000	23800000
chr13	24825000	29325000	25850000
chr13	29325000	30025000	29600000
chr13	30025000	31775000	30600000
chr13	31775000	32375000	32175000
chr13	32375000	32875000	32600000
chr13	32875000	34125000	33300000
chr13	34125000	34925000	34650000
chr13	34925000	36075000	35300000
chr13	36075000	37475000	37000000
chr13	37475000	38025000	37600000
chr13	38025000	38675000	38350000
chr13	38675000	39525000	39250000
chr13	39525000	39925000	39750000
chr13	39925000	40925000	40200000
chr13	40925000	41575000	41475000
chr13	41575000	42025000	41875000
chr13	42025000	43275000	42600000
chr13	43275000	44725000	44000000
chr13	44725000	45975000	45250000
chr13	45975000	46775000	46300000
chr13	46775000	47075000	46950000
chr13	47075000	48225000	47650000
chr13	48225000	48575000	48350000
chr13	48575000	48975000	48675000
chr13	48975000	49425000	49200000
chr13	49425000	51075000	50250000
chr13	51075000	51725000	51400000
chr13	51725000	52225000	52125000
chr13	52200000	52575000	52300000
chr13	52575000	53225000	52750000
chr13	53225000	54625000	53800000
chr13	54625000	55225000	54900000
chr13	55225000	55625000	55475000
chr13	55625000	56125000	55950000
chr13	56125000	58225000	56650000
chr13	58225000	58925000	58775000
chr13	58925000	59675000	59150000
chr13	59675000	61775000	61100000
chr13	61775000	62125000	61950000
chr13	62125000	63325000	63050000
chr13	63325000	64175000	63650000
chr13	64175000	66825000	64750000
chr13	66825000	67425000	67150000
chr13	67425000	67775000	67675000
chr13	67775000	68475000	68150000
chr13	68475000	69575000	69000000
chr13	69575000	70625000	70400000
chr13	70625000	71525000	71300000
chr13	71525000	73425000	71850000
chr13	73425000	73775000	73625000
chr13	73775000	74475000	74050000
chr13	74475000	75775000	75250000
chr13	75775000	77075000	76750000
chr13	77075000	77675000	77300000
chr13	77675000	78175000	77875000
chr13	78175000	80925000	80200000
chr13	80925000	81675000	81200000
chr13	81675000	82625000	82300000
chr13	82625000	83725000	83200000
chr13	83725000	84275000	83875000
chr13	84275000	85225000	84700000
chr13	85225000	87025000	85700000
chr13	87025000	88725000	88000000
chr13	88725000	89775000	89125000
chr13	89775000	90925000	90500000
chr13	90925000	91225000	91075000
chr13	91225000	91775000	91650000
chr13	91775000	92425000	91875000
chr13	92425000	94375000	92900000
chr13	94375000	94875000	94600000
chr13	94875000	95575000	95200000
chr13	95575000	96675000	95825000
chr13	96675000	97175000	96850000
chr13	97175000	98825000	98050000
chr13	98825000	99425000	99275000
chr13	99425000	99975000	99750000
chr13	99975000	100725000	100250000
chr13	100725000	101775000	101450000
chr13	101775000	103775000	102200000
chr13	103775000	104075000	103875000
chr13	104075000	104925000	104450000
chr13	104925000	105975000	105575000
chr13	105975000	106925000	106200000
chr13	106925000	107725000	107375000
chr13	107725000	108225000	107825000
chr13	108225000	109675000	108800000
chr13	109675000	111525000	110750000
chr13	111525000	112425000	112100000
chr13	112425000	112775000	112600000
chr13	112775000	113725000	113200000
chr13	113725000	114275000	113975000
chr13	114275000	117225000	116450000
chr13	117225000	118275000	117550000
chr13	118275000	119575000	118800000
chr13	119575000	120400000	119900000
chr13	120400000	121575000	121475000
chr14	1175001	1425000	1100000
chr14	1425000	1725000	1525000
chr14	1725000	4275000	4000000
chr14	4275000	5275000	4575000
chr14	5275000	5575000	5425000
chr14	5575000	6575000	6250000
chr14	6575000	6775000	6675000
chr14	6775000	8075000	6900000
chr14	8075000	8675000	8500000
chr14	8675000	9325000	9100000
chr14	9325000	9675000	9550000
chr14	9675000	11575000	10200000
chr14	11575000	11925000	11675000
chr14	11925000	12925000	12750000
chr14	12925000	13175000	13050000
chr14	13175000	14025000	13400000
chr14	14025000	14675000	14350000
chr14	14675000	16325000	15350000
chr14	16325000	17575000	17150000
chr14	17575000	18275000	17775000
chr14	18275000	19825000	18775000
chr14	19825000	20175000	20000000
chr14	20175000	20675000	20275000
chr14	20675000	21475000	21050000
chr14	21475000	24225000	22950000
chr14	24225000	25825000	25000000
chr14	25825000	26075000	25925000
chr14	26075000	26575000	26300000
chr14	26575000	27075000	26800000
chr14	27075000	27375000	27250000
chr14	27375000	30575000	30200000
chr14	30575000	31025000	30800000
chr14	31025000	32125000	31825000
chr14	32125000	34375000	32850000
chr14	34375000	34675000	34550000
chr14	34675000	37775000	37450000
chr14	37775000	40925000	39850000
chr14	40925000	41575000	41300000
chr14	41575000	43325000	42900000
chr14	43325000	44075000	43850000
chr14	44075000	45425000	44500000
chr14	45425000	46375000	46100000
chr14	46375000	46775000	46550000
chr14	46775000	47375000	46950000
chr14	47375000	48675000	48475000
chr14	48675000	49025000	48925000
chr14	49025000	49825000	49500000
chr14	49825000	50925000	50250000
chr14	50925000	52075000	51500000
chr14	52075000	52975000	52650000
chr14	52975000	53575000	53350000
chr14	53575000	54575000	53900000
chr14	54575000	55625000	54850000
chr14	55625000	56775000	56200000
chr14	56775000	57875000	57150000
chr14	57875000	59375000	58700000
chr14	59375000	60275000	59950000
chr14	60275000	60775000	60400000
chr14	60775000	61625000	61200000
chr14	61625000	62775000	62100000
chr14	62775000	63125000	62950000
chr14	63125000	63525000	63275000
chr14	63525000	64675000	64000000
chr14	64675000	65775000	65550000
chr14	65775000	67875000	66550000
chr14	67875000	69225000	68850000
chr14	69225000	69725000	69425000
chr14	69725000	70175000	69950000
chr14	70175000	70625000	70300000
chr14	70625000	72675000	71800000
chr14	72675000	73175000	72875000
chr14	73175000	74925000	74175000
chr14	74925000	75375000	75150000
chr14	75375000	75825000	75550000
chr14	75825000	76525000	76150000
chr14	76525000	78775000	77475000
chr14	78775000	79525000	79025000
chr14	79525000	82275000	81050000
chr14	82275000	83125000	82700000
chr14	83125000	84175000	83500000
chr14	84175000	86675000	85050000
chr14	86675000	87125000	86800000
chr14	87125000	89325000	88650000
chr14	89325000	91475000	90050000
chr14	91475000	92875000	92350000
chr14	92875000	94775000	93550000
chr14	94775000	97375000	95200000
chr14	97375000	99325000	97900000
chr14	99325000	100325000	99900000
chr14	100325000	103125000	102400000
chr14	103125000	104475000	104075000
chr14	104475000	105175000	104675000
chr14	105175000	105875000	105550000
chr14	105875000	109425000	107150000
chr14	109425000	111075000	110150000
chr14	111075000	116875000	114600000
chr14	116875000	118175000	117275000
chr14	118175000	118725000	118350000
chr14	118725000	119975000	119500000
chr14	119975000	120975000	120375000
chr14	120975000	121575000	121150000
chr14	121575000	121825000	121700000
chr14	121825000	122375000	121925000
chr14	122375000	124025000	123475000
chr14	124025000	124900000	124475000
chr14	124900000	126200000	126100000
chr15	1300001	1575000	950000
chr15	1575000	2075000	1975000
chr15	2075000	2375000	2175000
chr15	2375000	4025000	2850000
chr15	4025000	5125000	4550000
chr15	5125000	6025000	5650000
chr15	6025000	6675000	6350000
chr15	6675000	7125000	6850000
chr15	7125000	8125000	7550000
chr15	8125000	10675000	8975000
chr15	10675000	11425000	11175000
chr15	11425000	12225000	11550000
chr15	12225000	12875000	12650000
chr15	12875000	14125000	13800000
chr15	14125000	14675000	14300000
chr15	14675000	15625000	15375000
chr15	15625000	16925000	15750000
chr15	16925000	22075000	20600000
chr15	22075000	23025000	22550000
chr15	23025000	23475000	23150000
chr15	23475000	25825000	23800000
chr15	25825000	27575000	26750000
chr15	27575000	28025000	27850000
chr15	28025000	30625000	30350000
chr15	30625000	31525000	30950000
chr15	31525000	32925000	32500000
chr15	32925000	34075000	33200000
chr15	34075000	34475000	34250000
chr15	34475000	34825000	34700000
chr15	34825000	35325000	34950000
chr15	35325000	35875000	35650000
chr15	35875000	36175000	35975000
chr15	36175000	36725000	36350000
chr15	36725000	37025000	36850000
chr15	37025000	38075000	37600000
chr15	38075000	38425000	38250000
chr15	38425000	39175000	38950000
chr15	39175000	39725000	39350000
chr15	39725000	41425000	40600000
chr15	41425000	41775000	41650000
chr15	41775000	43275000	42600000
chr15	43275000	44375000	43900000
chr15	44375000	45725000	45325000
chr15	45725000	47175000	46250000
chr15	47175000	50875000	49725000
chr15	50875000	51975000	51400000
chr15	51975000	53075000	52575000
chr15	53075000	53325000	53200000
chr15	53325000	55225000	54200000
chr15	55225000	56725000	56550000
chr15	56725000	58075000	57000000
chr15	58075000	59325000	58600000
chr15	59325000	59625000	59450000
chr15	59625000	60825000	60500000
chr15	60825000	62025000	61100000
chr15	62025000	62975000	62725000
chr15	62975000	64075000	63350000
chr15	64075000	67025000	66350000
chr15	67025000	68325000	67700000
chr15	68325000	69025000	68800000
chr15	69025000	73175000	71800000
chr15	73175000	73675000	73400000
chr15	73675000	74675000	74150000
chr15	74675000	75875000	75300000
chr15	75875000	76625000	76100000
chr15	76625000	77325000	77125000
chr15	77325000	77875000	77575000
chr15	77875000	78575000	78250000
chr15	78575000	79025000	78700000
chr15	79025000	79425000	79150000
chr15	79425000	79875000	79600000
chr15	79875000	80125000	79975000
chr15	80125000	80975000	80450000
chr15	80975000	81725000	81200000
chr15	81725000	82225000	82100000
chr15	82225000	83225000	82600000
chr15	83225000	84225000	83850000
chr15	84225000	84725000	84450000
chr15	84725000	84975000	84825000
chr15	84975000	85325000	85150000
chr15	85325000	85975000	85600000
chr15	85975000	87825000	87050000
chr15	87825000	88775000	88150000
chr15	88775000	90225000	90000000
chr15	90225000	91275000	90600000
chr15	91275000	91825000	91650000
chr15	91825000	92375000	92100000
chr15	92375000	93325000	92650000
chr15	93325000	94625000	93950000
chr15	94625000	95775000	95350000
chr15	95775000	96225000	95950000
chr15	96225000	96525000	96325000
chr15	96525000	97375000	97000000
chr15	97375000	97775000	97625000
chr15	97775000	98125000	97950000
chr15	98125000	98925000	98275000
chr15	98925000	99875000	99500000
chr15	99875000	100275000	100075000
chr15	100275000	101225000	100475000
chr15	101225000	102425000	101650000
chr15	102425000	103275000	102900000
chr15	103275000	104000000	103700000
chr15	104000000	104950000	104850000
chr16	950001	2525000	1750000
chr16	2525000	4025000	3250000
chr16	4025000	4575000	4300000
chr16	4575000	7425000	6525000
chr16	7425000	8825000	8000000
chr16	8825000	9125000	8975000
chr16	9125000	11225000	10750000
chr16	11225000	13175000	12350000
chr16	13175000	13725000	13300000
chr16	13725000	15875000	15000000
chr16	15875000	16225000	16125000
chr16	16225000	17225000	16625000
chr16	17225000	17925000	17650000
chr16	17925000	18375000	18050000
chr16	18375000	20475000	18650000
chr16	20475000	21225000	21050000
