sample	experiment	run	celltype	treatment	group	group_short	control	organism	path	path_original	bait_chrom	bait_name	alleles	concentration	description	study_geo	subset_detect_offtargets	subset_detect_rdc	subset_aph_concentration	subset_promoter_enhancer_deletion	subset_multiomics_examples	subset_pileups	instrument_model	platform
VI050	Ctnna2 promoter/enhancer	B400_011	NPC	APH 0.5 uM 96h	Allelic deletion (47/5)	fndr_47-5	FALSE	mouse	Chr6_70Mb_APH05_47-5_replicate_7.tlx	VI050_B400_011_result.tlx	chr6	Chr6_70Mb	1	0.5	ESC-NPC;NXP010;47/5; Aphidicolin 0.5 uM 96h	This study	Y	Y	N	Y	Y	Y	Illumina MISEQ V2 250 pair-end	ILLUMINA
VI055	Ctnna2 promoter/enhancer	B400_012	NPC	DMSO	Allelic deletion (47/5)	fndr_47-5	TRUE	mouse	Chr6_70Mb_DMSO_47-5_replicate_8.tlx	VI055_B400_012_result.tlx	chr6	Chr6_70Mb	1	0	ESC-NPC;NXP010;47/5; DMSO	This study	Y	Y	N	Y	N	N	Illumina MISEQ V3 300 pair-end	ILLUMINA
VI056	Ctnna2 promoter/enhancer	B400_012	NPC	APH 0.5 uM 96h	Allelic deletion (47/5)	fndr_47-5	FALSE	mouse	Chr6_70Mb_APH05_47-5_replicate_8.tlx	VI056_B400_012_result.tlx	chr6	Chr6_70Mb	1	0.5	ESC-NPC;NXP010;47/5; Aphidicolin 0.5 uM 96h	This study	Y	Y	N	Y	Y	Y	Illumina MISEQ V3 300 pair-end	ILLUMINA
LC0025	Ctnna2 promoter/enhancer	B400_005	NPC	DMSO	Allelic+promoter deletion (18/4)	fndr-prom_18-4	TRUE	mouse	Chr6_70Mb_DMSO_18-4_replicate_1.tlx	LC0025_B400_005_result.tlx	chr6	Chr6_70Mb	1	0	ESC-NPC;Nxp010;18/4; DMSO	This study	Y	Y	N	Y	N	N	Illumina MISEQ V3 300 pair-end	ILLUMINA
VI034	Ctnna2 promoter/enhancer	B400_006	NPC	APH 0.5 uM 96h	Allelic+promoter deletion (18/4)	fndr-prom_18-4	FALSE	mouse	Chr6_70Mb_APH05_18-4_replicate_1.tlx	VI034_B400_006_result.tlx	chr6	Chr6_70Mb	1	0.5	ESC-NPC;NXP010;18/4; Aphidicolin 0.5 uM 96h	This study	Y	Y	N	Y	Y	Y	Illumina MISEQ V3 300 pair-end	ILLUMINA
VI057	Ctnna2 promoter/enhancer	B400_012	NPC	DMSO	Allelic+promoter deletion (18/4)	fndr-prom_18-4	TRUE	mouse	Chr6_70Mb_DMSO_18-4_replicate_2.tlx	VI057_B400_012_result.tlx	chr6	Chr6_70Mb	1	0	ESC-NPC;NXP010;18/4; DMSO	This study	Y	Y	N	Y	N	N	Illumina MISEQ V3 300 pair-end	ILLUMINA
VI058	Ctnna2 promoter/enhancer	B400_012	NPC	APH 0.5 uM 96h	Allelic+promoter deletion (18/4)	fndr-prom_18-4	FALSE	mouse	Chr6_70Mb_APH05_18-4_replicate_2.tlx	VI058_B400_012_result.tlx	chr6	Chr6_70Mb	1	0.5	ESC-NPC;NXP010;18/4; Aphidicolin 0.5 uM 96h	This study	Y	Y	N	Y	Y	Y	Illumina MISEQ V3 300 pair-end	ILLUMINA
VI065	Ctnna2 promoter/enhancer	B400_015	NPC	DMSO	Allelic+promoter deletion (18/4)	fndr-prom_18-4	TRUE	mouse	Chr6_70Mb_DMSO_18-4_replicate_3.tlx	VI065_B400_015_result.tlx	chr6	Chr6_70Mb	1	0	ESC-NPC;NXP010;18/4; DMSO	This study	Y	Y	N	Y	N	N	Illumina MISEQ V2 250 pair-end	ILLUMINA
VI066	Ctnna2 promoter/enhancer	B400_015	NPC	APH 0.5 uM 96h	Allelic+promoter deletion (18/4)	fndr-prom_18-4	FALSE	mouse	Chr6_70Mb_APH05_18-4_replicate_3.tlx	VI066_B400_015_result.tlx	chr6	Chr6_70Mb	1	0.5	ESC-NPC;NXP010;18/4; Aphidicolin 0.5 uM 96h	This study	Y	Y	N	Y	Y	Y	Illumina MISEQ V2 250 pair-end	ILLUMINA
LC0026	Ctnna2 promoter/enhancer	B400_005	NPC	DMSO	Allelic+promoter deletion (38/3)	fndr-prom_38-3	TRUE	mouse	Chr6_70Mb_DMSO_38-3_replicate_1.tlx	LC0026_B400_005_result.tlx	chr6	Chr6_70Mb	1	0	ESC-NPC;Nxp010;38/3; DMSO	This study	Y	Y	N	Y	N	N	Illumina MISEQ V3 300 pair-end	ILLUMINA
VI033	Ctnna2 promoter/enhancer	B400_006	NPC	APH 0.5 uM 96h	Allelic+promoter deletion (38/3)	fndr-prom_38-3	FALSE	mouse	Chr6_70Mb_APH05_38-3_replicate_1.tlx	VI033_B400_006_result.tlx	chr6	Chr6_70Mb	1	0.5	ESC-NPC;NXP010;38/3; Aphidicolin 0.5 uM 96h	This study	Y	Y	N	Y	Y	Y	Illumina MISEQ V3 300 pair-end	ILLUMINA
VI045	Ctnna2 promoter/enhancer	B400_010	NPC	DMSO	Allelic+promoter deletion (38/3)	fndr-prom_38-3	TRUE	mouse	Chr6_70Mb_DMSO_38-3_replicate_2.tlx	VI045_B400_010_result.tlx	chr6	Chr6_70Mb	1	0	ESC-NPC;NXP010;38/3; DMSO	This study	Y	Y	N	Y	N	N	Illumina MISEQ V3 250 pair-end	ILLUMINA
VI046	Ctnna2 promoter/enhancer	B400_010	NPC	APH 0.5 uM 96h	Allelic+promoter deletion (38/3)	fndr-prom_38-3	FALSE	mouse	Chr6_70Mb_APH05_38-3_replicate_2.tlx	VI046_B400_010_result.tlx	chr6	Chr6_70Mb	1	0.5	ESC-NPC;NXP010;38/3; Aphidicolin 0.5 uM 96h	This study	Y	Y	N	Y	Y	Y	Illumina MISEQ V3 250 pair-end	ILLUMINA
VI051	Ctnna2 promoter/enhancer	B400_011	NPC	DMSO	Allelic+promoter deletion (38/3)	fndr-prom_38-3	TRUE	mouse	Chr6_70Mb_DMSO_38-3_replicate_3.tlx	VI051_B400_011_result.tlx	chr6	Chr6_70Mb	1	0	ESC-NPC;NXP010;38/3; DMSO	This study	Y	Y	N	Y	N	N	Illumina MISEQ V2 250 pair-end	ILLUMINA
VI052	Ctnna2 promoter/enhancer	B400_011	NPC	APH 0.5 uM 96h	Allelic+promoter deletion (38/3)	fndr-prom_38-3	FALSE	mouse	Chr6_70Mb_APH05_38-3_replicate_3.tlx	VI052_B400_011_result.tlx	chr6	Chr6_70Mb	1	0.5	ESC-NPC;NXP010;38/3; Aphidicolin 0.5 uM 96h	This study	Y	Y	N	Y	Y	Y	Illumina MISEQ V2 250 pair-end	ILLUMINA
VI063	Ctnna2 promoter/enhancer	B400_015	NPC	DMSO	Allelic+promoter deletion (38/3)	fndr-prom_38-3	TRUE	mouse	Chr6_70Mb_DMSO_38-3_replicate_4.tlx	VI063_B400_015_result.tlx	chr6	Chr6_70Mb	1	0	ESC-NPC;NXP010;38/3; DMSO	This study	Y	Y	N	Y	N	N	Illumina MISEQ V2 250 pair-end	ILLUMINA
VI064	Ctnna2 promoter/enhancer	B400_015	NPC	APH 0.5 uM 96h	Allelic+promoter deletion (38/3)	fndr-prom_38-3	FALSE	mouse	Chr6_70Mb_APH05_38-3_replicate_4.tlx	VI064_B400_015_result.tlx	chr6	Chr6_70Mb	1	0.5	ESC-NPC;NXP010;38/3; Aphidicolin 0.5 uM 96h	This study	Y	Y	N	Y	Y	Y	Illumina MISEQ V2 250 pair-end	ILLUMINA
LC0024	Ctnna2 promoter/enhancer	B400_005	NPC	DMSO	Perental cell (NXP010)	NXP010	TRUE	mouse	Chr6_70Mb_DMSO_replicate_2.tlx	LC0024_B400_005_result.tlx	chr6	Chr6_70Mb	2	0	ESC-NPC;Nxp010; DMSO	This study	Y	Y	N	Y	N	N	Illumina MISEQ V3 300 pair-end	ILLUMINA
PW055	Ctnna2 promoter/enhancer	B400_007	NPC	DMSO	Perental cell (NXP010)	NXP010	TRUE	mouse	Chr6_70Mb_DMSO_replicate_3.tlx	PW055_B400_007_result.tlx	chr6	Chr6_70Mb	2	0	ESC-NPC;NXP010; DMSO	This study	Y	Y	N	Y	N	N	Illumina MISEQ V3 300 pair-end	ILLUMINA
PW056	Ctnna2 promoter/enhancer	B400_008	NPC	APH 0.5 uM 96h	Perental cell (NXP010)	NXP010	FALSE	mouse	Chr6_70Mb_APH05_replicate_1.tlx	PW056_B400_008_result.tlx	chr6	Chr6_70Mb	2	0.5	ESC-NPC;NXP010; Aphidicolin 0.5 uM 96h	This study	Y	Y	N	Y	Y	Y	Illumina MISEQ V3 250 pair-end	ILLUMINA
VI011	Ctnna2 promoter/enhancer	B400_003	NPC	APH 0.5 uM 96h	Perental cell (NXP010)	NXP010	FALSE	mouse	Chr6_70Mb_APH05_replicate_2.tlx	VI011_B400_003_result.tlx	chr6	Chr6_70Mb	2	0.5	ESC-NPC;NXP010; Aphidicolin 0.5 uM 96h	This study	Y	Y	N	Y	Y	Y	Illumina MISEQ V3 300 pair-end	ILLUMINA
VI020	Ctnna2 promoter/enhancer	B400_006	NPC	DMSO	Perental cell (NXP010)	NXP010	TRUE	mouse	Chr6_70Mb_DMSO_replicate_4.tlx	VI020_B400_006_result.tlx	chr6	Chr6_70Mb	2	0	ESC-NPC;NXP010; DMSO	This study	Y	Y	N	Y	N	N	Illumina MISEQ V3 300 pair-end	ILLUMINA
VI021	Ctnna2 promoter/enhancer	B400_006	NPC	APH 0.5 uM 96h	Perental cell (NXP010)	NXP010	FALSE	mouse	Chr6_70Mb_APH05_replicate_3.tlx	VI021_B400_006_result.tlx	chr6	Chr6_70Mb	2	0.5	ESC-NPC;NXP010; Aphidicolin 0.5 uM 96h	This study	Y	Y	N	Y	Y	Y	Illumina MISEQ V3 300 pair-end	ILLUMINA
VI028	Ctnna2 promoter/enhancer	B400_006	NPC	APH 0.5 uM 96h	Perental cell (NXP010)	NXP010	FALSE	mouse	Chr6_70Mb_APH05_replicate_4.tlx	VI028_B400_006_result.tlx	chr6	Chr6_70Mb	2	0.5	ESC-NPC;NXP010; Aphidicolin 0.5 uM 96h	This study	Y	Y	N	Y	Y	Y	Illumina MISEQ V3 300 pair-end	ILLUMINA
VI036	Ctnna2 promoter/enhancer	B400_009	NPC	APH 0.5 uM 96h	Perental cell (NXP010)	NXP010	FALSE	mouse	Chr6_70Mb_APH05_replicate_5.tlx	VI036_B400_009_result.tlx	chr6	Chr6_70Mb	2	0.5	ESC-NPC;NXP010; Aphidicolin 0.5 uM 96h	This study	Y	Y	N	Y	Y	Y	Illumina MISEQ V3 250 pair-end	ILLUMINA
VI047	Ctnna2 promoter/enhancer	B400_011	NPC	DMSO	Perental cell (NXP010)	NXP010	TRUE	mouse	Chr6_70Mb_DMSO_replicate_5.tlx	VI047_B400_011_result.tlx	chr6	Chr6_70Mb	2	0	ESC-NPC;NXP010; DMSO	This study	Y	Y	N	Y	N	N	Illumina MISEQ V2 250 pair-end	ILLUMINA
VI048	Ctnna2 promoter/enhancer	B400_011	NPC	APH 0.5 uM 96h	Perental cell (NXP010)	NXP010	FALSE	mouse	Chr6_70Mb_APH05_replicate_6.tlx	VI048_B400_011_result.tlx	chr6	Chr6_70Mb	2	0.5	ESC-NPC;NXP010; Aphidicolin 0.5 uM 96h	This study	Y	Y	N	Y	Y	Y	Illumina MISEQ V2 250 pair-end	ILLUMINA
VI053	Ctnna2 promoter/enhancer	B400_012	NPC	DMSO	Perental cell (NXP010)	NXP010	TRUE	mouse	Chr6_70Mb_DMSO_replicate_6.tlx	VI053_B400_012_result.tlx	chr6	Chr6_70Mb	2	0	ESC-NPC;NXP010; DMSO	This study	Y	Y	N	Y	N	N	Illumina MISEQ V3 300 pair-end	ILLUMINA
VI054	Ctnna2 promoter/enhancer	B400_012	NPC	APH 0.5 uM 96h	Perental cell (NXP010)	NXP010	FALSE	mouse	Chr6_70Mb_APH05_replicate_7.tlx	VI054_B400_012_result.tlx	chr6	Chr6_70Mb	2	0.5	ESC-NPC;NXP010; Aphidicolin 0.5 uM 96h	This study	Y	Y	N	Y	Y	Y	Illumina MISEQ V3 300 pair-end	ILLUMINA
VI059	Ctnna2 promoter/enhancer	B400_015	NPC	DMSO	Perental cell (NXP010)	NXP010	TRUE	mouse	Chr6_70Mb_DMSO_replicate_7.tlx	VI059_B400_015_result.tlx	chr6	Chr6_70Mb	2	0	ESC-NPC;NXP010; DMSO	This study	Y	Y	N	Y	N	N	Illumina MISEQ V2 250 pair-end	ILLUMINA
VI060	Ctnna2 promoter/enhancer	B400_015	NPC	APH 0.5 uM 96h	Perental cell (NXP010)	NXP010	FALSE	mouse	Chr6_70Mb_APH05_replicate_8.tlx	VI060_B400_015_result.tlx	chr6	Chr6_70Mb	2	0.5	ESC-NPC;NXP010; Aphidicolin 0.5 uM 96h	This study	Y	Y	N	Y	Y	Y	Illumina MISEQ V2 250 pair-end	ILLUMINA
PW009	Nrxn1 promoter/enhancer	B400_001	NPC	APH 0.5 uM 96h	Allelic deletion (22)	fndr_22	FALSE	mouse	Chr17_41Mb_APH05_22_replicate_1.tlx	PW009_B400_001_result.tlx	chr17	Chr17_41Mb	1	0.5	ESC-NPC;Nxp047;22; Aphidicolin 0.5 uM 96h	This study	Y	Y	N	Y	Y	Y	Illumina MISEQ V3 300 pair-end	ILLUMINA
PW010	Nrxn1 promoter/enhancer	B400_001	NPC	DMSO	Allelic deletion (22)	fndr_22	TRUE	mouse	Chr17_41Mb_DMSO_22_replicate_1.tlx	PW010_B400_001_result.tlx	chr17	Chr17_41Mb	1	0	ESC-NPC;Nxp047;22; DMSO	This study	Y	Y	N	Y	N	N	Illumina MISEQ V3 300 pair-end	ILLUMINA
PW047	Nrxn1 promoter/enhancer	B400_005	NPC	DMSO	Allelic deletion (22)	fndr_22	TRUE	mouse	Chr17_41Mb_DMSO_22_replicate_2.tlx	PW047_B400_005_result.tlx	chr17	Chr17_41Mb	1	0	ESC-NPC;Nxp047;22; DMSO	This study	Y	Y	N	Y	N	N	Illumina MISEQ V3 300 pair-end	ILLUMINA
PW048	Nrxn1 promoter/enhancer	B400_005	NPC	APH 0.5 uM 96h	Allelic deletion (22)	fndr_22	FALSE	mouse	Chr17_41Mb_APH05_22_replicate_2.tlx	PW048_B400_005_result.tlx	chr17	Chr17_41Mb	1	0.5	ESC-NPC;Nxp047;22; Aphidicolin 0.5 uM 96h	This study	Y	Y	N	Y	Y	Y	Illumina MISEQ V3 300 pair-end	ILLUMINA
PW079	Nrxn1 promoter/enhancer	B400_010	NPC	DMSO	Allelic deletion (22)	fndr_22	TRUE	mouse	Chr17_41Mb_DMSO_22_replicate_3.tlx	PW079_B400_010_result.tlx	chr17	Chr17_41Mb	1	0	ESC-NPC;Nxp047;22; DMSO	This study	Y	Y	N	Y	N	N	Illumina MISEQ V3 250 pair-end	ILLUMINA
PW080	Nrxn1 promoter/enhancer	B400_010	NPC	APH 0.5 uM 96h	Allelic deletion (22)	fndr_22	FALSE	mouse	Chr17_41Mb_APH05_22_replicate_3.tlx	PW080_B400_010_result.tlx	chr17	Chr17_41Mb	1	0.5	ESC-NPC;Nxp047;22; Aphidicolin 0.5 uM 96h	This study	Y	Y	N	Y	Y	Y	Illumina MISEQ V3 250 pair-end	ILLUMINA
PW013	Nrxn1 promoter/enhancer	B400_001	NPC	APH 0.5 uM 96h	Allelic+promoter deletion (22/37)	fndr-prom_22-37	FALSE	mouse	Chr17_41Mb_APH05_22-37_replicate_1.tlx	PW013_B400_001_result.tlx	chr17	Chr17_41Mb	1	0.5	ESC-NPC;Nxp047;22-37; Aphidicolin 0.5 uM 96h	This study	Y	Y	N	Y	Y	Y	Illumina MISEQ V3 300 pair-end	ILLUMINA
PW014	Nrxn1 promoter/enhancer	B400_001	NPC	DMSO	Allelic+promoter deletion (22/37)	fndr-prom_22-37	TRUE	mouse	Chr17_41Mb_DMSO_22-37_replicate_1.tlx	PW014_B400_001_result.tlx	chr17	Chr17_41Mb	1	0	ESC-NPC;Nxp047;22-37; DMSO	This study	Y	Y	N	Y	N	N	Illumina MISEQ V3 300 pair-end	ILLUMINA
PW084	Nrxn1 promoter/enhancer	B400_012	NPC	APH 0.5 uM 96h	Allelic+promoter deletion (22/5)	fndr-prom_22-5	FALSE	mouse	Chr17_41Mb_APH05_22-5_replicate_1.tlx	PW084_B400_012_result.tlx	chr17	Chr17_41Mb	1	0.5	ESC-NPC;Nxp047;22-5; Aphidicolin 0.5 uM 96h	This study	Y	Y	N	Y	Y	Y	Illumina MISEQ V3 300 pair-end	ILLUMINA
PW086	Nrxn1 promoter/enhancer	B400_012	NPC	DMSO	Allelic+promoter deletion (22/5)	fndr-prom_22-5	TRUE	mouse	Chr17_41Mb_DMSO_22-5_replicate_1.tlx	PW086_B400_012_result.tlx	chr17	Chr17_41Mb	1	0	ESC-NPC;Nxp047;22-5; DMSO	This study	Y	Y	N	Y	N	N	Illumina MISEQ V3 300 pair-end	ILLUMINA
PW087	Nrxn1 promoter/enhancer	B400_012	NPC	APH 0.5 uM 96h	Allelic+promoter deletion (22/5)	fndr-prom_22-5	FALSE	mouse	Chr17_41Mb_APH05_22-5_replicate_2.tlx	PW087_B400_012_result.tlx	chr17	Chr17_41Mb	1	0.5	ESC-NPC;Nxp047;22-5; Aphidicolin 0.5 uM 96h	This study	Y	Y	N	Y	Y	Y	Illumina MISEQ V3 300 pair-end	ILLUMINA
PW005	Nrxn1 promoter/enhancer	B400_001	NPC	APH 0.5 uM 96h	Parental cell (NXP047)	NXP047	FALSE	mouse	Chr17_41Mb_APH05_replicate_1.tlx	PW005_B400_001_result.tlx	chr17	Chr17_41Mb	2	0.5	ESC-NPC;Nxp047; Aphidicolin 0.5 uM 96h	This study	Y	Y	N	Y	Y	Y	Illumina MISEQ V3 300 pair-end	ILLUMINA
PW006	Nrxn1 promoter/enhancer	B400_001	NPC	DMSO	Parental cell (NXP047)	NXP047	TRUE	mouse	Chr17_41Mb_DMSO_replicate_1.tlx	PW006_B400_001_result.tlx	chr17	Chr17_41Mb	2	0	ESC-NPC;Nxp047; DMSO	This study	Y	Y	N	Y	N	N	Illumina MISEQ V3 300 pair-end	ILLUMINA
PW045	Nrxn1 promoter/enhancer	B400_005	NPC	DMSO	Parental cell (NXP047)	NXP047	TRUE	mouse	Chr17_41Mb_DMSO_replicate_2.tlx	PW045_B400_005_result.tlx	chr17	Chr17_41Mb	2	0	ESC-NPC;Nxp047; DMSO	This study	Y	Y	N	Y	N	N	Illumina MISEQ V3 300 pair-end	ILLUMINA
PW046	Nrxn1 promoter/enhancer	B400_005	NPC	APH 0.5 uM 96h	Parental cell (NXP047)	NXP047	FALSE	mouse	Chr17_41Mb_APH05_replicate_2.tlx	PW046_B400_005_result.tlx	chr17	Chr17_41Mb	2	0.5	ESC-NPC;Nxp047; Aphidicolin 0.5 uM 96h	This study	Y	Y	N	Y	Y	Y	Illumina MISEQ V3 300 pair-end	ILLUMINA
SRR6283674	Wei et al. PNAS 2018	Wei2018_Chr1	NPC	DMSO	chr1	chr1	TRUE	mouse	Wei2018/SRR6283674_WEI2018_result.tlx	Wei2018/SRR6283674_WEI2018_result.tlx	chr1	Chr1_41Mb	2	0	From Wei et al. PNAS 2018; bait on chr1	GSE106822	Y	Y	N	N	N	N		
SRR6283675	Wei et al. PNAS 2018	Wei2018_Chr1	NPC	DMSO	chr1	chr1	TRUE	mouse	Wei2018/SRR6283675_WEI2018_result.tlx	Wei2018/SRR6283675_WEI2018_result.tlx	chr1	Chr1_41Mb	2	0	From Wei et al. PNAS 2018; bait on chr1	GSE106822	Y	Y	N	N	N	N		
SRR6283676	Wei et al. PNAS 2018	Wei2018_Chr1	NPC	DMSO	chr1	chr1	TRUE	mouse	Wei2018/SRR6283676_WEI2018_result.tlx	Wei2018/SRR6283676_WEI2018_result.tlx	chr1	Chr1_41Mb	2	0	From Wei et al. PNAS 2018; bait on chr1	GSE106822	Y	Y	N	N	N	N		
SRR6283677	Wei et al. PNAS 2018	Wei2018_Chr1	NPC	APH 0.5uM	chr1	chr1	FALSE	mouse	Wei2018/SRR6283677_WEI2018_result.tlx	Wei2018/SRR6283677_WEI2018_result.tlx	chr1	Chr1_41Mb	2	0.5	From Wei et al. PNAS 2018; bait on chr1	GSE106822	Y	Y	N	N	Y	Y		
SRR6283678	Wei et al. PNAS 2018	Wei2018_Chr1	NPC	APH 0.5uM	chr1	chr1	FALSE	mouse	Wei2018/SRR6283678_WEI2018_result.tlx	Wei2018/SRR6283678_WEI2018_result.tlx	chr1	Chr1_41Mb	2	0.5	From Wei et al. PNAS 2018; bait on chr1	GSE106822	Y	Y	N	N	Y	Y		
