fork_direction	fork_iz	fork_chrom	fork_tz	fork_start	fork_end	fork_pred
telomeric	20925000	chr1	22800000	20925000	22800000	1
centromeric	23275000	chr1	22800000	22800000	23275000	1
telomeric	23275000	chr1	23525000	23275000	23525000	1
centromeric	24025000	chr1	23525000	23525000	24025000	1
telomeric	24025000	chr1	24425000	24025000	24425000	1
centromeric	25025000	chr1	24425000	24425000	25025000	1
telomeric	25025000	chr1	25625000	25025000	25625000	1
centromeric	30875000	chr1	25625000	25625000	30875000	1
telomeric	30875000	chr1	31575000	30875000	31575000	1
centromeric	32125000	chr1	31575000	31575000	32125000	1
telomeric	32125000	chr1	32400000	32125000	32400000	0.9999995231628418
centromeric	33925000	chr1	32400000	32400000	33925000	0.9999995231628418
telomeric	33925000	chr1	34050000	33925000	34050000	0.9999997615814209
centromeric	34325000	chr1	34050000	34050000	34325000	0.9999997615814209
telomeric	34325000	chr1	35100000	34325000	35100000	1
centromeric	36575000	chr1	35100000	35100000	36575000	1
telomeric	36575000	chr1	37500000	36575000	37500000	0.9998376369476318
centromeric	38175000	chr1	37500000	37500000	38175000	0.9998376369476318
telomeric	38175000	chr1	38350000	38175000	38350000	1
centromeric	38675000	chr1	38350000	38350000	38675000	1
telomeric	38675000	chr1	39200000	38675000	39200000	1
centromeric	39775000	chr1	39200000	39200000	39775000	1
telomeric	39775000	chr1	40500000	39775000	40500000	1
centromeric	41375000	chr1	40500000	40500000	41375000	1
telomeric	41375000	chr1	41775000	41375000	41775000	0.9999042749404907
centromeric	42775000	chr1	41775000	41775000	42775000	0.9999042749404907
telomeric	42775000	chr1	43525000	42775000	43525000	0.8178905844688416
centromeric	44025000	chr1	43525000	43525000	44025000	0.8178905844688416
telomeric	44025000	chr1	44750000	44025000	44750000	1
centromeric	44875000	chr1	44750000	44750000	44875000	1
telomeric	44875000	chr1	45300000	44875000	45300000	1
centromeric	45925000	chr1	45300000	45300000	45925000	1
telomeric	45925000	chr1	46400000	45925000	46400000	1
centromeric	51675000	chr1	46400000	46400000	51675000	1
telomeric	51675000	chr1	52550000	51675000	52550000	1
centromeric	52775000	chr1	52550000	52550000	52775000	1
telomeric	52775000	chr1	53250000	52775000	53250000	1
centromeric	53375000	chr1	53250000	53250000	53375000	1
telomeric	53375000	chr1	53475000	53375000	53475000	0.9999741315841675
centromeric	53825000	chr1	53475000	53475000	53825000	0.9999741315841675
telomeric	53825000	chr1	54000000	53825000	54000000	1
centromeric	55025000	chr1	54000000	54000000	55025000	1
telomeric	55025000	chr1	55675000	55025000	55675000	0.9999997615814209
centromeric	55775000	chr1	55675000	55675000	55775000	0.9999997615814209
telomeric	55775000	chr1	56300000	55775000	56300000	1
centromeric	58325000	chr1	56300000	56300000	58325000	1
telomeric	58325000	chr1	58450000	58325000	58450000	0.9999946355819702
centromeric	59475000	chr1	58450000	58450000	59475000	0.9999946355819702
telomeric	59475000	chr1	60725000	59475000	60725000	0.8751281499862671
centromeric	60825000	chr1	60725000	60725000	60825000	0.8751281499862671
telomeric	60825000	chr1	61075000	60825000	61075000	0.9216839671134949
centromeric	61375000	chr1	61075000	61075000	61375000	0.9216839671134949
telomeric	61375000	chr1	62000000	61375000	62000000	1
centromeric	62675000	chr1	62000000	62000000	62675000	1
telomeric	62675000	chr1	63750000	62675000	63750000	0.8996320366859436
centromeric	63975000	chr1	63750000	63750000	63975000	0.8996320366859436
telomeric	63975000	chr1	64100000	63975000	64100000	1
centromeric	64725000	chr1	64100000	64100000	64725000	1
telomeric	64725000	chr1	65700000	64725000	65700000	1
centromeric	66125000	chr1	65700000	65700000	66125000	1
telomeric	66125000	chr1	66275000	66125000	66275000	0.9999979734420776
centromeric	68025000	chr1	66275000	66275000	68025000	0.9999979734420776
telomeric	68025000	chr1	68500000	68025000	68500000	0.9999998807907104
centromeric	69125000	chr1	68500000	68500000	69125000	0.9999998807907104
telomeric	69125000	chr1	70500000	69125000	70500000	1
centromeric	71125000	chr1	70500000	70500000	71125000	1
telomeric	71125000	chr1	71275000	71125000	71275000	1
centromeric	72225000	chr1	71275000	71275000	72225000	1
telomeric	72225000	chr1	72450000	72225000	72450000	1
centromeric	72775000	chr1	72450000	72450000	72775000	1
telomeric	72775000	chr1	73400000	72775000	73400000	1
centromeric	74375000	chr1	73400000	73400000	74375000	1
telomeric	74375000	chr1	75000000	74375000	75000000	1
centromeric	75475000	chr1	75000000	75000000	75475000	1
telomeric	75475000	chr1	76600000	75475000	76600000	0.9928261041641235
centromeric	77275000	chr1	76600000	76600000	77275000	0.9928261041641235
telomeric	77275000	chr1	77500000	77275000	77500000	1
centromeric	78075000	chr1	77500000	77500000	78075000	1
telomeric	78075000	chr1	79150000	78075000	79150000	1
centromeric	79675000	chr1	79150000	79150000	79675000	1
telomeric	79675000	chr1	80050000	79675000	80050000	0.9999912977218628
centromeric	80225000	chr1	80050000	80050000	80225000	0.9999912977218628
telomeric	80225000	chr1	80875000	80225000	80875000	1
centromeric	81625000	chr1	80875000	80875000	81625000	1
telomeric	81625000	chr1	81925000	81625000	81925000	0.9159982204437256
centromeric	82175000	chr1	81925000	81925000	82175000	0.9159982204437256
telomeric	82175000	chr1	82675000	82175000	82675000	0.9999192953109741
centromeric	82825000	chr1	82675000	82675000	82825000	0.9999192953109741
telomeric	82825000	chr1	83550000	82825000	83550000	1
centromeric	84825000	chr1	83550000	83550000	84825000	1
telomeric	84825000	chr1	85250000	84825000	85250000	0.8480079174041748
centromeric	86425000	chr1	85250000	85250000	86425000	0.8480079174041748
telomeric	86425000	chr1	86950000	86425000	86950000	1
centromeric	87275000	chr1	86950000	86950000	87275000	1
telomeric	87275000	chr1	87600000	87275000	87600000	0.9999039173126221
centromeric	87825000	chr1	87600000	87600000	87825000	0.9999039173126221
telomeric	87825000	chr1	88100000	87825000	88100000	0.9999512434005737
centromeric	88625000	chr1	88100000	88100000	88625000	0.9999512434005737
telomeric	88625000	chr1	89650000	88625000	89650000	1
centromeric	89975000	chr1	89650000	89650000	89975000	1
telomeric	89975000	chr1	90900000	89975000	90900000	1
centromeric	91425000	chr1	90900000	90900000	91425000	1
telomeric	91425000	chr1	91925000	91425000	91925000	0.9955301880836487
centromeric	92275000	chr1	91925000	91925000	92275000	0.9955301880836487
telomeric	92275000	chr1	92600000	92275000	92600000	1
centromeric	93125000	chr1	92600000	92600000	93125000	1
telomeric	93125000	chr1	93550000	93125000	93550000	0.9932541251182556
centromeric	93675000	chr1	93550000	93550000	93675000	0.9932541251182556
telomeric	93675000	chr1	95000000	93675000	95000000	1
centromeric	95375000	chr1	95000000	95000000	95375000	1
telomeric	95375000	chr1	95550000	95375000	95550000	0.9976806640625
centromeric	96075000	chr1	95550000	95550000	96075000	0.9976806640625
telomeric	96075000	chr1	96700000	96075000	96700000	0.9233430027961731
centromeric	98125000	chr1	96700000	96700000	98125000	0.9233430027961731
telomeric	98125000	chr1	99100000	98125000	99100000	0.9999998807907104
centromeric	100125000	chr1	99100000	99100000	100125000	0.9999998807907104
telomeric	100125000	chr1	100525000	100125000	100525000	0.6185221076011658
centromeric	101575000	chr1	100525000	100525000	101575000	0.6185221076011658
telomeric	101575000	chr1	101950000	101575000	101950000	0.9999983310699463
centromeric	102175000	chr1	101950000	101950000	102175000	0.9999983310699463
telomeric	102175000	chr1	104050000	102175000	104050000	0.9907240271568298
centromeric	104725000	chr1	104050000	104050000	104725000	0.9907240271568298
telomeric	104725000	chr1	104950000	104725000	104950000	1
centromeric	105075000	chr1	104950000	104950000	105075000	1
telomeric	105075000	chr1	105250000	105075000	105250000	1
centromeric	105425000	chr1	105250000	105250000	105425000	1
telomeric	105425000	chr1	105550000	105425000	105550000	1
centromeric	106125000	chr1	105550000	105550000	106125000	1
telomeric	106125000	chr1	106275000	106125000	106275000	1
centromeric	106475000	chr1	106275000	106275000	106475000	1
telomeric	106475000	chr1	117000000	106475000	117000000	0.6353379487991333
centromeric	118325000	chr1	117000000	117000000	118325000	0.6353379487991333
telomeric	118325000	chr1	118450000	118325000	118450000	0.9999994039535522
centromeric	118775000	chr1	118450000	118450000	118775000	0.9999994039535522
telomeric	118775000	chr1	119300000	118775000	119300000	1
centromeric	119525000	chr1	119300000	119300000	119525000	1
telomeric	119525000	chr1	119650000	119525000	119650000	1
centromeric	119875000	chr1	119650000	119650000	119875000	1
telomeric	119875000	chr1	120450000	119875000	120450000	1
centromeric	120625000	chr1	120450000	120450000	120625000	1
telomeric	120625000	chr1	120900000	120625000	120900000	1
centromeric	125775000	chr1	120900000	120900000	125775000	1
telomeric	125775000	chr1	126100000	125775000	126100000	1
centromeric	126775000	chr1	126100000	126100000	126775000	1
telomeric	126775000	chr1	128050000	126775000	128050000	1
centromeric	128625000	chr1	128050000	128050000	128625000	1
telomeric	128625000	chr1	130550000	128625000	130550000	1
centromeric	131125000	chr1	130550000	130550000	131125000	1
telomeric	131125000	chr1	131400000	131125000	131400000	1
centromeric	132275000	chr1	131400000	131400000	132275000	1
telomeric	132275000	chr1	132750000	132275000	132750000	1
centromeric	133325000	chr1	132750000	132750000	133325000	1
telomeric	133325000	chr1	133900000	133325000	133900000	1
centromeric	134125000	chr1	133900000	133900000	134125000	1
telomeric	134125000	chr1	134350000	134125000	134350000	0.7595372200012207
centromeric	134675000	chr1	134350000	134350000	134675000	0.7595372200012207
telomeric	134675000	chr1	134850000	134675000	134850000	1
centromeric	135375000	chr1	134850000	134850000	135375000	1
telomeric	135375000	chr1	135500000	135375000	135500000	1
centromeric	135675000	chr1	135500000	135500000	135675000	1
telomeric	135675000	chr1	136025000	135675000	136025000	0.7777338027954102
centromeric	136225000	chr1	136025000	136025000	136225000	0.7777338027954102
telomeric	136225000	chr1	137450000	136225000	137450000	1
centromeric	137825000	chr1	137450000	137450000	137825000	1
telomeric	137825000	chr1	138350000	137825000	138350000	0.999995231628418
centromeric	138875000	chr1	138350000	138350000	138875000	0.999995231628418
telomeric	138875000	chr1	139900000	138875000	139900000	1
centromeric	140275000	chr1	139900000	139900000	140275000	1
telomeric	140275000	chr1	140550000	140275000	140550000	0.9998936653137207
centromeric	143875000	chr1	140550000	140550000	143875000	0.9998936653137207
telomeric	143875000	chr1	150675000	143875000	150675000	0.9945926070213318
centromeric	151075000	chr1	150675000	150675000	151075000	0.9945926070213318
telomeric	151075000	chr1	151950000	151075000	151950000	1
centromeric	153075000	chr1	151950000	151950000	153075000	1
telomeric	153075000	chr1	153250000	153075000	153250000	0.9950931072235107
centromeric	153375000	chr1	153250000	153250000	153375000	0.9950931072235107
telomeric	153375000	chr1	154500000	153375000	154500000	1
centromeric	155075000	chr1	154500000	154500000	155075000	1
telomeric	155075000	chr1	155400000	155075000	155400000	1
centromeric	156075000	chr1	155400000	155400000	156075000	1
telomeric	156075000	chr1	156375000	156075000	156375000	1
centromeric	156775000	chr1	156375000	156375000	156775000	1
telomeric	156775000	chr1	156925000	156775000	156925000	0.6840008497238159
centromeric	157025000	chr1	156925000	156925000	157025000	0.6840008497238159
telomeric	157025000	chr1	158000000	157025000	158000000	1
centromeric	158275000	chr1	158000000	158000000	158275000	1
telomeric	158275000	chr1	159025000	158275000	159025000	1
centromeric	159825000	chr1	159025000	159025000	159825000	1
telomeric	159825000	chr1	160400000	159825000	160400000	1
centromeric	160925000	chr1	160400000	160400000	160925000	1
telomeric	160925000	chr1	161500000	160925000	161500000	1
centromeric	162275000	chr1	161500000	161500000	162275000	1
telomeric	162275000	chr1	163550000	162275000	163550000	1
centromeric	164275000	chr1	163550000	163550000	164275000	1
telomeric	164275000	chr1	164700000	164275000	164700000	1
centromeric	165125000	chr1	164700000	164700000	165125000	1
telomeric	165125000	chr1	165250000	165125000	165250000	0.8295843005180359
centromeric	165775000	chr1	165250000	165250000	165775000	0.8295843005180359
telomeric	165775000	chr1	166800000	165775000	166800000	1
centromeric	167325000	chr1	166800000	166800000	167325000	1
telomeric	167325000	chr1	167550000	167325000	167550000	0.724603533744812
centromeric	167825000	chr1	167550000	167550000	167825000	0.724603533744812
telomeric	167825000	chr1	168325000	167825000	168325000	1
centromeric	168475000	chr1	168325000	168325000	168475000	1
telomeric	168475000	chr1	169000000	168475000	169000000	0.999998927116394
centromeric	169425000	chr1	169000000	169000000	169425000	0.999998927116394
telomeric	169425000	chr1	169675000	169425000	169675000	1
centromeric	170275000	chr1	169675000	169675000	170275000	1
telomeric	170275000	chr1	170375000	170275000	170375000	0.9865078926086426
centromeric	170575000	chr1	170375000	170375000	170575000	0.9865078926086426
telomeric	170575000	chr1	170850000	170575000	170850000	1
centromeric	171225000	chr1	170850000	170850000	171225000	1
telomeric	171225000	chr1	171650000	171225000	171650000	1
centromeric	172275000	chr1	171650000	171650000	172275000	1
telomeric	172275000	chr1	173200000	172275000	173200000	1
centromeric	173375000	chr1	173200000	173200000	173375000	1
telomeric	173375000	chr1	173800000	173375000	173800000	0.9999936819076538
centromeric	174475000	chr1	173800000	173800000	174475000	0.9999936819076538
telomeric	174475000	chr1	174675000	174475000	174675000	1
centromeric	175925000	chr1	174675000	174675000	175925000	1
telomeric	175925000	chr1	176150000	175925000	176150000	0.9999978542327881
centromeric	176725000	chr1	176150000	176150000	176725000	0.9999978542327881
telomeric	176725000	chr1	176950000	176725000	176950000	1
centromeric	177125000	chr1	176950000	176950000	177125000	1
telomeric	177125000	chr1	177550000	177125000	177550000	0.9999150037765503
centromeric	177675000	chr1	177550000	177550000	177675000	0.9999150037765503
telomeric	177675000	chr1	178050000	177675000	178050000	1
centromeric	179075000	chr1	178050000	178050000	179075000	1
telomeric	179075000	chr1	179300000	179075000	179300000	0.9990874528884888
centromeric	179675000	chr1	179300000	179300000	179675000	0.9990874528884888
telomeric	179675000	chr1	179975000	179675000	179975000	0.98917388916015625
centromeric	180325000	chr1	179975000	179975000	180325000	0.98917388916015625
telomeric	180325000	chr1	180425000	180325000	180425000	0.9999407529830933
centromeric	180775000	chr1	180425000	180425000	180775000	0.9999407529830933
telomeric	180775000	chr1	181500000	180775000	181500000	1
centromeric	182075000	chr1	181500000	181500000	182075000	1
telomeric	182075000	chr1	182850000	182075000	182850000	1
centromeric	183075000	chr1	182850000	182850000	183075000	1
telomeric	183075000	chr1	184125000	183075000	184125000	0.9999468326568604
centromeric	185175000	chr1	184125000	184125000	185175000	0.9999468326568604
telomeric	185175000	chr1	185400000	185175000	185400000	0.6793384552001953
centromeric	185525000	chr1	185400000	185400000	185525000	0.6793384552001953
telomeric	185525000	chr1	186000000	185525000	186000000	0.9999997615814209
centromeric	186775000	chr1	186000000	186000000	186775000	0.9999997615814209
telomeric	186775000	chr1	187000000	186775000	187000000	1
centromeric	187100000	chr1	187000000	187000000	187100000	1
telomeric	187050000	chr1	187150000	187050000	187150000	0.9738240242004395
centromeric	187675000	chr1	187150000	187150000	187675000	0.9738240242004395
telomeric	187675000	chr1	188025000	187675000	188025000	1
centromeric	188225000	chr1	188025000	188025000	188225000	1
telomeric	188225000	chr1	188400000	188225000	188400000	1
centromeric	189125000	chr1	188400000	188400000	189125000	1
telomeric	189125000	chr1	189300000	189125000	189300000	0.9999552965164185
centromeric	189675000	chr1	189300000	189300000	189675000	0.9999552965164185
telomeric	189675000	chr1	190450000	189675000	190450000	1
centromeric	191425000	chr1	190450000	190450000	191425000	1
telomeric	191425000	chr1	192450000	191425000	192450000	1
centromeric	192825000	chr1	192450000	192450000	192825000	1
telomeric	192825000	chr1	193100000	192825000	193100000	0.9985747337341309
centromeric	193425000	chr1	193100000	193100000	193425000	0.9985747337341309
telomeric	193425000	chr1	193900000	193425000	193900000	1
centromeric	194325000	chr1	193900000	193900000	194325000	1
telomeric	194325000	chr1	195150000	194325000	195150000	1
centromeric	195450000	chr1	195150000	195150000	195450000	1
telomeric	195450000	chr1	196150000	195450000	196150000	1
centromeric	196250000	chr1	196150000	196150000	196250000	1
telomeric	800001	chr10	1050000	800001	1050000	0.999421238899231
centromeric	2025000	chr10	1050000	1050000	2025000	0.999421238899231
telomeric	2025000	chr10	2850000	2025000	2850000	1
centromeric	3725000	chr10	2850000	2850000	3725000	1
telomeric	3725000	chr10	3850000	3725000	3850000	0.9999995231628418
centromeric	4225000	chr10	3850000	3850000	4225000	0.9999995231628418
telomeric	4225000	chr10	6500000	4225000	6500000	1
centromeric	7825000	chr10	6500000	6500000	7825000	1
telomeric	7825000	chr10	8400000	7825000	8400000	1
centromeric	8975000	chr10	8400000	8400000	8975000	1
telomeric	8975000	chr10	9300000	8975000	9300000	1
centromeric	9675000	chr10	9300000	9300000	9675000	1
telomeric	9675000	chr10	10700000	9675000	10700000	1
centromeric	11275000	chr10	10700000	10700000	11275000	1
telomeric	11275000	chr10	11800000	11275000	11800000	1
centromeric	13175000	chr10	11800000	11800000	13175000	1
telomeric	13175000	chr10	13800000	13175000	13800000	1
centromeric	13925000	chr10	13800000	13800000	13925000	1
telomeric	13925000	chr10	14075000	13925000	14075000	1
centromeric	14175000	chr10	14075000	14075000	14175000	1
telomeric	14175000	chr10	15025000	14175000	15025000	1
centromeric	15575000	chr10	15025000	15025000	15575000	1
telomeric	15575000	chr10	16100000	15575000	16100000	1
centromeric	17725000	chr10	16100000	16100000	17725000	1
telomeric	17725000	chr10	17825000	17725000	17825000	0.9999973773956299
centromeric	18275000	chr10	17825000	17825000	18275000	0.9999973773956299
telomeric	18275000	chr10	18475000	18275000	18475000	1
centromeric	18575000	chr10	18475000	18475000	18575000	1
telomeric	18575000	chr10	18900000	18575000	18900000	1
centromeric	19325000	chr10	18900000	18900000	19325000	1
telomeric	19325000	chr10	19700000	19325000	19700000	0.9999998807907104
centromeric	20275000	chr10	19700000	19700000	20275000	0.9999998807907104
telomeric	20275000	chr10	20700000	20275000	20700000	1
centromeric	21125000	chr10	20700000	20700000	21125000	1
telomeric	21125000	chr10	22300000	21125000	22300000	1
centromeric	22625000	chr10	22300000	22300000	22625000	1
telomeric	22625000	chr10	23175000	22625000	23175000	1
centromeric	23475000	chr10	23175000	23175000	23475000	1
telomeric	23475000	chr10	23950000	23475000	23950000	1
centromeric	24325000	chr10	23950000	23950000	24325000	1
telomeric	24325000	chr10	25100000	24325000	25100000	1
centromeric	25325000	chr10	25100000	25100000	25325000	1
telomeric	25325000	chr10	26000000	25325000	26000000	0.9999945163726807
centromeric	26175000	chr10	26000000	26000000	26175000	0.9999945163726807
telomeric	26175000	chr10	26325000	26175000	26325000	0.7788419723510742
centromeric	26725000	chr10	26325000	26325000	26725000	0.7788419723510742
telomeric	26725000	chr10	27500000	26725000	27500000	1
centromeric	28025000	chr10	27500000	27500000	28025000	1
telomeric	28025000	chr10	28350000	28025000	28350000	1
centromeric	29575000	chr10	28350000	28350000	29575000	1
telomeric	29575000	chr10	29700000	29575000	29700000	0.9999969005584717
centromeric	30225000	chr10	29700000	29700000	30225000	0.9999969005584717
telomeric	30225000	chr10	31150000	30225000	31150000	1
centromeric	31275000	chr10	31150000	31150000	31275000	1
telomeric	31275000	chr10	32200000	31275000	32200000	0.9999990463256836
centromeric	32575000	chr10	32200000	32200000	32575000	0.9999990463256836
telomeric	32575000	chr10	33500000	32575000	33500000	1
centromeric	34125000	chr10	33500000	33500000	34125000	1
telomeric	34125000	chr10	35600000	34125000	35600000	0.9921939373016357
centromeric	37325000	chr10	35600000	35600000	37325000	0.9921939373016357
telomeric	37325000	chr10	38200000	37325000	38200000	0.9999969005584717
centromeric	39575000	chr10	38200000	38200000	39575000	0.9999969005584717
telomeric	39575000	chr10	40050000	39575000	40050000	1
centromeric	40325000	chr10	40050000	40050000	40325000	1
telomeric	40325000	chr10	41200000	40325000	41200000	1
centromeric	41525000	chr10	41200000	41200000	41525000	1
telomeric	41525000	chr10	41750000	41525000	41750000	1
centromeric	42025000	chr10	41750000	41750000	42025000	1
telomeric	42025000	chr10	42150000	42025000	42150000	0.8648722767829895
centromeric	42525000	chr10	42150000	42150000	42525000	0.8648722767829895
telomeric	42525000	chr10	42725000	42525000	42725000	0.9983013868331909
centromeric	42925000	chr10	42725000	42725000	42925000	0.9983013868331909
telomeric	42925000	chr10	43050000	42925000	43050000	1
centromeric	43225000	chr10	43050000	43050000	43225000	1
telomeric	43225000	chr10	44300000	43225000	44300000	1
centromeric	44475000	chr10	44300000	44300000	44475000	1
telomeric	44475000	chr10	44700000	44475000	44700000	1
centromeric	45775000	chr10	44700000	44700000	45775000	1
telomeric	45775000	chr10	49500000	45775000	49500000	1
centromeric	49875000	chr10	49500000	49500000	49875000	1
telomeric	49875000	chr10	50100000	49875000	50100000	0.9961572289466858
centromeric	50925000	chr10	50100000	50100000	50925000	0.9961572289466858
telomeric	50925000	chr10	51700000	50925000	51700000	1
centromeric	53225000	chr10	51700000	51700000	53225000	1
telomeric	53225000	chr10	53325000	53225000	53325000	0.9999992847442627
centromeric	53425000	chr10	53325000	53325000	53425000	0.9999992847442627
telomeric	53425000	chr10	55100000	53425000	55100000	0.9999997615814209
centromeric	56725000	chr10	55100000	55100000	56725000	0.9999997615814209
telomeric	56725000	chr10	57200000	56725000	57200000	1
centromeric	57775000	chr10	57200000	57200000	57775000	1
telomeric	57775000	chr10	58100000	57775000	58100000	1
centromeric	58425000	chr10	58100000	58100000	58425000	1
telomeric	58425000	chr10	58800000	58425000	58800000	1
centromeric	59375000	chr10	58800000	58800000	59375000	1
telomeric	59375000	chr10	59475000	59375000	59475000	1
centromeric	59925000	chr10	59475000	59475000	59925000	1
telomeric	59925000	chr10	60650000	59925000	60650000	0.9999997615814209
centromeric	61425000	chr10	60650000	60650000	61425000	0.9999997615814209
telomeric	61425000	chr10	62100000	61425000	62100000	1
centromeric	62725000	chr10	62100000	62100000	62725000	1
telomeric	62725000	chr10	64025000	62725000	64025000	0.9999253749847412
centromeric	64225000	chr10	64025000	64025000	64225000	0.9999253749847412
telomeric	64225000	chr10	65300000	64225000	65300000	0.9910684823989868
centromeric	66975000	chr10	65300000	65300000	66975000	0.9910684823989868
telomeric	66975000	chr10	67600000	66975000	67600000	1
centromeric	68075000	chr10	67600000	67600000	68075000	1
telomeric	68075000	chr10	68800000	68075000	68800000	1
centromeric	69325000	chr10	68800000	68800000	69325000	1
telomeric	69325000	chr10	69500000	69325000	69500000	1
centromeric	69875000	chr10	69500000	69500000	69875000	1
telomeric	69875000	chr10	71000000	69875000	71000000	1
centromeric	71225000	chr10	71000000	71000000	71225000	1
telomeric	71225000	chr10	71950000	71225000	71950000	0.9629066586494446
centromeric	72325000	chr10	71950000	71950000	72325000	0.9629066586494446
telomeric	72325000	chr10	73500000	72325000	73500000	0.999972939491272
centromeric	75875000	chr10	73500000	73500000	75875000	0.999972939491272
telomeric	75875000	chr10	76300000	75875000	76300000	1
centromeric	76475000	chr10	76300000	76300000	76475000	1
telomeric	76475000	chr10	76650000	76475000	76650000	1
centromeric	77225000	chr10	76650000	76650000	77225000	1
telomeric	77225000	chr10	77925000	77225000	77925000	0.992094099521637
centromeric	78375000	chr10	77925000	77925000	78375000	0.992094099521637
telomeric	78375000	chr10	78900000	78375000	78900000	1
centromeric	79925000	chr10	78900000	78900000	79925000	1
telomeric	79925000	chr10	80650000	79925000	80650000	1
centromeric	80925000	chr10	80650000	80650000	80925000	1
telomeric	80925000	chr10	82400000	80925000	82400000	1
centromeric	82925000	chr10	82400000	82400000	82925000	1
telomeric	82925000	chr10	83450000	82925000	83450000	1
centromeric	84725000	chr10	83450000	83450000	84725000	1
telomeric	84725000	chr10	85600000	84725000	85600000	1
centromeric	86175000	chr10	85600000	85600000	86175000	1
telomeric	86175000	chr10	86350000	86175000	86350000	0.9999912977218628
centromeric	87025000	chr10	86350000	86350000	87025000	0.9999912977218628
telomeric	87025000	chr10	87300000	87025000	87300000	0.9999967813491821
centromeric	87425000	chr10	87300000	87300000	87425000	0.9999967813491821
telomeric	87425000	chr10	88100000	87425000	88100000	1
centromeric	89475000	chr10	88100000	88100000	89475000	1
telomeric	89475000	chr10	90200000	89475000	90200000	1
centromeric	91125000	chr10	90200000	90200000	91125000	1
telomeric	91125000	chr10	91700000	91125000	91700000	1
centromeric	92325000	chr10	91700000	91700000	92325000	1
telomeric	92325000	chr10	92900000	92325000	92900000	1
centromeric	93125000	chr10	92900000	92900000	93125000	1
telomeric	93125000	chr10	93225000	93125000	93225000	0.9999986886978149
centromeric	93825000	chr10	93225000	93225000	93825000	0.9999986886978149
telomeric	93825000	chr10	94150000	93825000	94150000	1
centromeric	94275000	chr10	94150000	94150000	94275000	1
telomeric	94275000	chr10	94850000	94275000	94850000	0.9999688863754272
centromeric	94975000	chr10	94850000	94850000	94975000	0.9999688863754272
telomeric	94975000	chr10	95200000	94975000	95200000	1
centromeric	95625000	chr10	95200000	95200000	95625000	1
telomeric	95625000	chr10	97625000	95625000	97625000	0.993409276008606
centromeric	97725000	chr10	97625000	97625000	97725000	0.993409276008606
